trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-06-11 10:00:00,2026-06-12 20:00:00,63179.574,63417.2755,0.0791395,5000.0,100.0,1.0,5.0,5.01881158,8.79276667,0.1757,ATR TRAILING,10008.79276667
2,NORMAL,2026-06-13 12:00:00,2026-06-15 21:00:00,64165.18656,66334.965925,0.07792388,5000.0,100.0,1.0,5.0,5.16907762,158.90853918,3.175,ATR TRAILING,10167.70130585
3,NORMAL,2026-06-20 15:00:00,2026-06-22 16:00:00,64192.12002,64687.410115,0.07789118,5000.0,100.0,1.0,5.0,5.03857873,28.5401514,0.5702,ATR TRAILING,10196.24145726
4,NORMAL,2026-07-01 22:00:00,2026-07-03 00:00:00,60508.249005,61278.095625,0.08263336,5000.0,100.0,1.0,5.0,5.06361501,53.55139886,1.07,ATR TRAILING,10249.79285612
5,NORMAL,2026-07-03 07:00:00,2026-07-05 01:00:00,61781.345235,62856.49603,0.08093058,5000.0,100.0,1.0,5.0,5.08701258,76.92556306,1.537,ATR TRAILING,10326.71841917
6,NORMAL,2026-07-05 07:00:00,2026-07-06 03:00:00,63051.720105,63262.353,0.07929998,5000.0,100.0,1.0,5.0,5.01670318,6.6864807,0.1336,ATR TRAILING,10333.40489987
7,NORMAL,2026-07-06 15:00:00,2026-07-07 02:00:00,63577.75299,63290.348995,0.07864386,5000.0,100.0,1.0,5.0,4.97739744,-32.57995741,-0.6509,ATR TRAILING,10300.82494246
8,NORMAL,2026-07-09 18:00:00,2026-07-10 17:00:00,63250.639515,63792.078005,0.07905058,5000.0,100.0,1.0,5.0,5.04280103,32.75822787,0.6545,ATR TRAILING,10333.58317033
9,NORMAL,2026-07-11 14:00:00,2026-07-13 01:00:00,64382.245035,63380.303995,0.07766116,5000.0,100.0,1.0,5.0,4.92218809,-87.73409411,-1.7529,STRATEGY SELL,10245.84907622
10,NORMAL,2026-07-15 06:00:00,2026-07-16 21:00:00,64846.407,64129.909005,0.07710527,5000.0,100.0,1.0,5.0,4.94475423,-65.19052868,-1.3025,STRATEGY SELL,10180.65854754
11,NORMAL,2026-07-19 03:00:00,2026-07-19 22:00:00,64738.53309,64472.96739,0.07723375,5000.0,100.0,1.0,5.0,4.97948936,-30.49012556,-0.6092,END OF BACKTEST,10150.16842198
