trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-05-04 13:00:00,2026-05-04 20:00:00,9.42471,9.33533,530.52030248,5000.0,100.0,1.0,5.0,4.9525821,-57.37048673,-1.1463,ATR TRAILING,9942.62951327
2,NORMAL,2026-05-05 14:00:00,2026-05-06 09:00:00,9.68484,10.16399746,513.30891957,4971.31475663,99.42629513,1.0,4.97131476,5.21727055,235.76721227,4.7378,TAKE PROFIT,10178.39672554
3,NORMAL,2026-05-06 13:00:00,2026-05-07 14:00:00,9.974985,9.87506,501.2538866,5000.0,100.0,1.0,5.0,4.94991221,-60.03770682,-1.1996,ATR TRAILING,10118.35901872
4,NORMAL,2026-05-10 22:00:00,2026-05-11 03:00:00,10.735365,10.51539737,465.75034943,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,10006.01146872
5,NORMAL,2026-05-13 11:00:00,2026-05-13 12:00:00,10.495245,10.28019743,476.40622015,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,9893.66391872
6,NORMAL,2026-06-13 15:00:00,2026-06-14 13:00:00,8.030013,7.86547803,616.04283323,4946.83195936,98.93663919,1.0,4.94683196,4.84547137,-111.15289018,-2.2447,STOP LOSS,9782.51102854
7,NORMAL,2026-06-16 12:00:00,2026-06-16 14:00:00,8.3951955,8.22317794,582.62556414,4891.25551427,97.82511029,1.0,4.89125551,4.79103369,-109.90411469,-2.2447,STOP LOSS,9672.60691385
8,NORMAL,2026-07-01 22:00:00,2026-07-02 22:00:00,7.4507235,7.7071445,649.10521199,4836.30345692,96.72606914,1.0,4.83630346,5.00274766,156.60515644,3.2349,PROFIT EXTENSION TRAILING STOP,9829.21207029
9,NORMAL,2026-07-03 02:00:00,2026-07-04 01:00:00,7.785891,7.9110425,631.21947573,4914.60603515,98.2921207,1.0,4.91460604,4.9936041,69.08985408,1.4044,ATR TRAILING,9898.30192437
10,NORMAL,2026-07-10 12:00:00,2026-07-11 22:00:00,7.955976,8.003996,622.06710556,4949.15096219,98.98301924,1.0,4.94915096,4.97902262,19.94348882,0.4026,ATR TRAILING,9918.2454132
11,NORMAL,2026-07-15 09:00:00,2026-07-16 00:00:00,8.3751855,8.481757,592.12093948,4959.1227066,99.18245413,1.0,4.95912271,5.02222592,53.12186807,1.0701,ATR TRAILING,9971.36728127
