trade_number,trade_type,buy_time,sell_time,buy_price,sell_price,quantity,notional,risk_amount,risk_percent,buy_fee,sell_fee,profit,profit_percent,exit_reason,balance_after_trade
1,NORMAL,2026-05-04 05:00:00,2026-05-04 10:00:00,85.42269,83.67237908,58.53245783,5000.0,100.0,1.0,5.0,4.89755,-112.34755,-2.2447,STOP LOSS,9887.65245
2,NORMAL,2026-05-06 13:00:00,2026-05-07 02:00:00,88.374165,88.105925,55.94198514,4943.826225,98.8765245,1.0,4.94382623,4.92882035,-24.87852467,-0.5027,ATR TRAILING,9862.77392533
3,NORMAL,2026-05-24 09:00:00,2026-05-24 14:00:00,86.593275,84.8189788,56.94884461,4931.38696267,98.62773925,1.0,4.93138696,4.83034284,-110.80584867,-2.2447,STOP LOSS,9751.96807666
4,NORMAL,2026-06-12 16:00:00,2026-06-12 19:00:00,68.044005,66.64978334,71.65927459,4875.98403833,97.51968077,1.0,4.87598404,4.77607513,-109.56097211,-2.2447,STOP LOSS,9642.40710455
5,NORMAL,2026-06-13 12:00:00,2026-06-14 04:00:00,68.023995,68.48574,70.87504273,4821.20355228,96.42407105,1.0,4.82120355,4.85392975,23.0510633,0.4776,ATR TRAILING,9665.45816786
6,NORMAL,2026-06-16 12:00:00,2026-06-16 14:00:00,74.97747,73.44118164,64.45575029,4832.72908393,96.65458168,1.0,4.83272908,4.73370646,-108.58905448,-2.2447,STOP LOSS,9556.86911338
7,NORMAL,2026-06-20 13:00:00,2026-06-21 21:00:00,71.225595,73.113425,67.08872782,4778.43455669,95.56869113,1.0,4.77843456,4.90508667,116.96859181,2.4454,ATR TRAILING,9673.83770519
8,NORMAL,2026-06-22 01:00:00,2026-06-22 16:00:00,74.407185,72.88258178,65.00607237,4836.9188526,96.73837705,1.0,4.83691885,4.73781039,-108.68319653,-2.2447,STOP LOSS,9565.15450866
9,NORMAL,2026-07-02 14:00:00,2026-07-04 08:00:00,80.58027,82.27884,59.35171543,4782.57725433,95.65154509,1.0,4.78257725,4.8833903,91.14707573,1.9039,ATR TRAILING,9656.30158439
10,NORMAL,2026-07-04 15:00:00,2026-07-05 01:00:00,82.271115,80.58537985,58.68585581,4828.1507922,96.56301584,1.0,4.82815079,4.72922198,-108.48618251,-2.2447,STOP LOSS,9547.81540188
11,NORMAL,2026-07-15 06:00:00,2026-07-16 07:00:00,77.97897,76.3811809,61.22045086,4773.90770094,95.47815402,1.0,4.7739077,4.67609033,-107.26736683,-2.2447,STOP LOSS,9440.54803506
