trade_number,symbol,entry_time,exit_time,entry_price,final_exit_price,initial_quantity,partial_quantity,entry_notional,allocation_percent,account_risk_percent,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,BTCUSDT,2026-05-04 01:00:00,2026-05-04 10:00:00,79809.314715,78174.02185649,0.02504846,0.0,1999.10014993,20.0,0.4,1.99910015,1.95813859,False,-44.91880081,-2.2447,STOP LOSS,6952.08119919
2,LINKUSDT,2026-05-04 10:00:00,2026-05-06 14:00:00,9.434715,9.93183675,210.39084835,52.59771209,1984.9776928,30.0,0.3996,1.98497769,2.08797179,True,98.92114379,4.9785,DYNAMIC ATR TRAILING,7051.00234298
3,ETHUSDT,2026-05-04 01:00:00,2026-05-06 22:00:00,2352.3756,2346.10636,1.27530655,0.0,3000.0,30.0,0.6,3.0,2.9920048,False,-13.9872076,-0.4658,REGIME SLEEP,8016.86356404
4,LINKUSDT,2026-05-07 05:00:00,2026-05-07 14:00:00,10.015005,9.80979755,299.10270505,0.0,2995.5150866,30.0,0.5966,2.99551509,2.93413698,False,-67.30775619,-2.2447,STOP LOSS,7949.55580784
5,SOLUSDT,2026-05-06 14:00:00,2026-05-08 17:00:00,88.4442,89.57444324,22.85204051,0.0,2021.1304409,30.0,0.4018,2.02113044,2.04695881,False,21.76027504,1.0756,DYNAMIC ATR TRAILING,9994.46765422
6,SOLUSDT,2026-05-09 15:00:00,2026-05-10 17:00:00,93.056505,94.80010095,32.2206416,0.0,2998.34029626,30.0,0.6,2.9983403,3.05452008,False,50.12691981,1.6702,DYNAMIC ATR TRAILING,8043.80780205
7,BTCUSDT,2026-05-10 01:00:00,2026-05-12 12:00:00,80725.90278,80840.81937,0.02476018,0.0,1998.787984,30.0,0.4002,1.99878798,2.00163334,False,-1.15506573,-0.0577,REGIME SLEEP,8032.86733196
8,XRPUSDT,2026-05-10 20:00:00,2026-05-12 15:00:00,1.450725,1.42099964,1384.52402263,0.0,2008.56361273,20.0,0.4,2.00856361,1.96740814,False,-45.13144018,-2.2447,STOP LOSS,9998.30806812
9,DOGEUSDT,2026-05-13 04:00:00,2026-05-13 14:00:00,0.11224609,0.10994617,44537.4427864,0.0,4999.15403406,50.0,1.0,4.99915403,4.89672137,False,-112.32854156,-2.2447,STOP LOSS,9885.97952656
10,DOGEUSDT,2026-05-13 14:00:00,2026-05-13 15:00:00,0.11190593,0.10989503,44170.93878881,0.0,4942.98976328,50.0,1.0,4.94298976,4.85416642,False,-98.620497,-1.9932,DAILY LOSS LIMIT,9787.35902956
11,XRPUSDT,2026-05-14 15:00:00,2026-05-14 18:00:00,1.47343635,1.49279387,14.03534675,0.0,20.68019009,20.0,0.0042,0.02068019,0.02095188,False,0.23005748,1.1113,DYNAMIC ATR TRAILING,4889.01589275
