trade_number,symbol,entry_time,exit_time,entry_price,final_exit_price,initial_quantity,partial_quantity,entry_notional,allocation_percent,account_risk_percent,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,ETHUSDT,2026-05-04 05:00:00,2026-05-04 10:00:00,2377.378095,2328.66561783,1.26189436,0.0,3000.0,30.0,0.6,3.0,2.93853,False,-67.40853,-2.2447,STOP LOSS,7933.45769105
2,BTCUSDT,2026-05-04 06:00:00,2026-05-04 10:00:00,79917.83895,78280.32242991,0.02498987,0.0,1997.13664231,20.0,0.4,1.99713664,1.95621531,False,-44.87468176,-2.2447,STOP LOSS,9887.71678824
3,LINKUSDT,2026-05-04 10:00:00,2026-05-06 14:00:00,9.434715,9.93183675,314.40430755,78.60107689,2966.31503647,30.0,0.6,2.96631504,3.12022756,True,147.82598178,4.9785,DYNAMIC ATR TRAILING,8083.51565083
4,BTCUSDT,2026-05-05 07:00:00,2026-05-07 15:00:00,80896.017795,79850.684685,0.02410597,0.0,1950.07704214,20.0,0.3925,1.95007704,1.92487827,False,-29.07372473,-1.4894,REGIME SLEEP CONFIRMED,6988.81541941
5,SOLUSDT,2026-05-06 14:00:00,2026-05-08 17:00:00,88.4442,89.57444324,34.08520838,0.0,3014.63898689,30.0,0.6,3.01463899,3.05316356,False,32.45677377,1.0756,DYNAMIC ATR TRAILING,10038.92581906
6,SOLUSDT,2026-05-09 15:00:00,2026-05-10 17:00:00,93.056505,94.80010095,32.36396795,0.0,3011.67774572,30.0,0.6,3.01167775,3.06810743,False,50.34989826,1.6702,DYNAMIC ATR TRAILING,10089.27571732
7,LINKUSDT,2026-05-10 21:00:00,2026-05-12 08:00:00,10.575285,10.35859741,190.88287612,0.0,2018.64081654,20.0,0.4,2.01864082,1.97727887,False,-45.35787001,-2.2447,STOP LOSS,8024.0448487
8,XRPUSDT,2026-05-10 20:00:00,2026-05-12 15:00:00,1.450725,1.42099964,1390.92877249,0.0,2017.85514346,20.0,0.4,2.01785514,1.97650929,False,-45.34021632,-2.2447,STOP LOSS,9998.57763098
9,LINKUSDT,2026-05-13 11:00:00,2026-05-13 12:00:00,10.495245,10.28019743,285.80307456,0.0,2999.57328929,30.0,0.6,2.99957329,2.93811203,False,-67.39894202,-2.2447,STOP LOSS,9931.17868896
10,XRPUSDT,2026-05-14 20:00:00,2026-05-15 02:00:00,1.508754,1.47783963,1974.71132251,0.0,2979.35360669,30.0,0.6,2.97935361,2.91830665,False,-66.94461566,-2.2447,STOP LOSS,9864.2340733
