event_time,symbol,event_type,details
2026-05-01 14:00:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 78827.71311506; remaining quantity 0.01391752
2026-05-02 21:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 2337.63879447; remaining quantity 1.13903510
2026-05-03 20:45:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 79226.80574601; remaining quantity 0.03828894
2026-05-05 12:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 9.78310677; remaining quantity 142.16805906
2026-05-10 09:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 94.62752546; remaining quantity 12.04662281
2026-05-10 16:15:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 81458.25562196; remaining quantity 0.01395382
2026-05-10 17:45:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 10.77025764; remaining quantity 176.94609126
2026-05-11 15:00:00,PORTFOLIO,DAILY STOP,Daily return -1.00%
2026-05-14 18:30:00,XRPUSDT,2R PARTIAL PROFIT,Reduced 25% at 1.53166936; remaining quantity 836.30814144
2026-06-13 21:45:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 64492.11933586; remaining quantity 0.03057827
2026-06-15 13:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 73.20348029; remaining quantity 25.00026797
2026-07-02 13:30:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 61754.70271655; remaining quantity 0.01855159
2026-07-03 19:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 7.95597098; remaining quantity 179.58595994
2026-07-04 17:45:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 63105.53649122; remaining quantity 0.04134651
2026-07-09 16:00:00,PORTFOLIO,HARD LOCK,Drawdown 5.00%
