trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,ETHUSDT,2026-05-01 13:00:00,2026-05-01 14:45:00,2302.520685,2304.82147879,2287.17054926,2305.97446603,1.52190442,0.0,3504.21641708,0.2333,100.0,2.1429,ADAPTIVE_BREAKOUT,3.50421642,3.50771801,False,-3.51034617,-0.1001,STOP LOSS,8928.37420218
2,BTCUSDT,2026-05-01 04:00:00,2026-05-01 21:00:00,77169.64554,77749.73260276,76320.8949658,77788.62691622,0.01855669,0.00463917,1432.01307215,0.1575,100.0,2.0546,IGNITION,1.43201307,1.4477785,True,12.88564047,0.8989,STOP LOSS,10009.37529431
3,BTCUSDT,2026-05-02 13:00:00,2026-05-02 18:15:00,78250.34562,78328.53727786,77967.54352709,78367.72113843,0.01919611,0.0,1502.10190456,0.0543,95.0,1.7575,IGNITION,1.5021019,1.50360288,False,-1.50472946,-0.1001,STOP LOSS,6501.08593049
4,ETHUSDT,2026-05-02 07:00:00,2026-05-02 22:30:00,2306.742795,2320.05024565,2290.71009322,2321.21085108,1.51871347,0.37967837,3503.28135301,0.2433,99.0,1.9679,IGNITION,3.50328135,3.53016955,True,19.85474514,0.5662,STOP LOSS,10027.72530999
5,SOLUSDT,2026-05-03 15:00:00,2026-05-03 16:15:00,84.412185,84.02003871,84.06206975,84.06206975,11.80365493,0.0,996.37230327,0.0412,100.0,1.9903,ADAPTIVE_BREAKOUT,0.9963723,0.99174354,False,-6.61687529,-0.6634,STOP LOSS,6006.00722058
6,ETHUSDT,2026-05-03 20:00:00,2026-05-03 21:15:00,2336.7678,2325.21942017,2326.38261148,2326.38261148,0.42476223,0.0,992.57070404,0.044,100.0,2.0144,ADAPTIVE_BREAKOUT,0.9925707,0.98766539,False,-6.88555167,-0.693,STOP LOSS,7009.28070046
7,BTCUSDT,2026-05-03 10:00:00,2026-05-03 21:45:00,78568.834785,78647.34469316,78220.03269475,78686.68803718,0.05105192,0.01276298,4011.090124,0.1776,100.0,1.8398,IGNITION,4.01109012,4.02249386,True,3.37014813,0.0839,STOP LOSS,10017.59303116
8,BTCUSDT,2026-05-04 15:00:00,2026-05-04 15:30:00,80256.258075,79584.96827041,79624.78066074,79624.78066074,0.04992803,0.0,4007.03721246,0.3147,100.0,2.1841,ADAPTIVE_BREAKOUT,4.00703721,3.97352103,False,-41.49673869,-1.0346,STOP LOSS,9976.09629247
9,ETHUSDT,2026-05-04 17:00:00,2026-05-05 17:15:00,2356.447635,2358.8023153,2326.8891867,2359.98230645,1.35001624,0.0,3181.24257107,0.4,100.0,2.2185,PULLBACK,3.18124257,3.18442143,False,-3.18680736,-0.1001,STOP LOSS,8638.25871737
10,LINKUSDT,2026-05-04 18:00:00,2026-05-06 14:00:00,9.474735,9.97967652,9.31810211,9.98466885,189.55741208,47.38935302,1796.00624675,0.2972,95.0,2.1033,IGNITION,1.79600625,1.88240634,True,82.72168139,4.6013,STOP LOSS,6433.77209815
11,BTCUSDT,2026-05-06 06:00:00,2026-05-06 14:00:00,81373.6665,81641.66137572,80581.19638098,81682.50262703,0.04446452,0.0,3618.24082752,0.351,100.0,1.5705,PULLBACK,3.61824083,3.63015709,False,4.66786495,0.1289,STOP LOSS,10060.29903145
12,SOLUSDT,2026-05-06 15:00:00,2026-05-06 18:00:00,88.4442,88.53257787,87.49066405,88.5768663,28.43685349,0.0,2515.07475786,0.2695,100.0,2.0517,IGNITION,2.51507476,2.51758795,False,-2.51947425,-0.1001,STOP LOSS,10057.7795572
13,LINKUSDT,2026-05-07 06:00:00,2026-05-07 14:45:00,10.015005,9.89206726,9.82707339,9.89701577,120.41616923,0.0,1205.96853695,0.225,100.0,1.547,PULLBACK,1.20596854,1.19116485,False,-17.20082473,-1.4249,STOP LOSS,10040.57873247
14,SOLUSDT,2026-05-09 02:00:00,2026-05-09 15:00:00,93.56676,92.8508594,92.32697711,92.89730805,18.22198247,0.0,1704.97186032,0.225,100.0,2.2443,ADAPTIVE_BREAKOUT,1.70497186,1.69192673,False,-16.44202681,-0.9634,STOP LOSS,10024.13670565
15,BTCUSDT,2026-05-09 16:00:00,2026-05-09 22:45:00,80568.18396,80648.69171782,80246.325737,80689.03623594,0.04976722,0.0,4009.65468226,0.1598,100.0,1.7997,IGNITION,4.00965468,4.01366133,False,-4.01666857,-0.1001,STOP LOSS,10020.12003708
16,SOLUSDT,2026-05-10 07:00:00,2026-05-10 10:30:00,93.456705,93.55009161,92.84762605,93.59689006,16.06216374,4.01554094,1501.11689873,0.0977,99.0,1.9546,IGNITION,1.5011169,1.50694337,True,2.81841052,0.1876,STOP LOSS,6512.38939261
17,ETHUSDT,2026-05-10 03:00:00,2026-05-10 11:30:00,2329.10397,2318.08492668,2316.65298028,2319.24454896,1.5057473,0.0,3507.04201298,0.1871,94.0,1.9009,IGNITION,3.50704201,3.49045012,False,-23.58938685,-0.672,STOP LOSS,8492.42650481
18,BTCUSDT,2026-05-10 11:00:00,2026-05-10 20:45:00,80914.2369,80995.09045122,80621.85278774,81035.60825535,0.0186051,0.00465127,1505.41713881,0.0543,100.0,1.7573,IGNITION,1.50541714,1.50907573,True,0.64410331,0.0427,STOP LOSS,8132.38179996
19,LINKUSDT,2026-05-10 14:00:00,2026-05-10 20:45:00,10.595295,10.60588235,10.50511977,10.61118794,235.92812168,58.98203042,2499.72804799,0.2128,100.0,1.8233,ADAPTIVE_BREAKOUT,2.49972805,2.51192109,True,7.18139239,0.287,STOP LOSS,10007.17455646
