event_time,symbol,event_type,details
2025-08-07 10:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 172.98838508; remaining quantity 11.03168325
2025-08-09 05:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 4154.20217518; remaining quantity 0.56282841
2025-08-09 05:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 181.40996141; remaining quantity 8.15699128
2025-08-10 03:30:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 118220.87058779; remaining quantity 0.01696568
2025-08-11 02:15:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 120306.46431142; remaining quantity 0.01962500
2025-08-12 12:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 4369.68033227; remaining quantity 0.57169386
2025-08-13 11:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 24.34625549; remaining quantity 54.24576599
2025-08-14 01:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 204.23227406; remaining quantity 6.73395005
2025-09-08 11:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 215.72806820; remaining quantity 6.88614822
2025-09-12 00:45:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 24.55541440; remaining quantity 58.07173636
2025-09-12 01:00:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 4530.28628396; remaining quantity 0.52427366
2025-09-14 03:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 247.84845977; remaining quantity 7.53354647
2025-09-19 01:45:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 24.86703724; remaining quantity 30.10564328
2025-09-29 14:15:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 113671.48046480; remaining quantity 0.01346985
2025-10-01 09:00:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 115819.17192188; remaining quantity 0.02600064
2025-10-05 02:45:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 123944.59124912; remaining quantity 0.02433907
2025-10-05 09:45:00,ETHUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 4549.11430500; remaining quantity 0.21653016
2025-10-05 09:45:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 22.71863500; remaining quantity 53.21093476
2025-10-06 15:30:00,BTCUSDT,2R PARTIAL PROFIT,Reduced 25% at 125344.63789565; remaining quantity 0.01704833
2025-10-09 14:00:00,PORTFOLIO,HARD LOCK,Drawdown 5.04%
