trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,ETHUSDT,2025-08-04 14:00:00,2025-08-05 03:15:00,3623.000595,3665.99634495,3559.13346253,3667.83026008,0.21920508,0.0,794.18014189,0.14,100.0,2.3031,ADAPTIVE_BREAKOUT,0.79418014,0.80360503,False,7.82710172,0.9846,STOP LOSS,10007.82710172
2,ETHUSDT,2025-08-06 16:00:00,2025-08-07 02:00:00,3666.53235,3670.19613245,3628.56030919,3672.03214852,0.3689809,0.0,1352.8804209,0.14,100.0,2.235,ADAPTIVE_BREAKOUT,1.35288042,1.35423229,False,-1.35524695,-0.1001,STOP LOSS,10006.47185477
3,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.70891099,3.67722775,2501.61796369,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.50161796,2.51420597,True,7.57218123,0.3024,STOP LOSS,6896.86038711
4,BTCUSDT,2025-08-07 11:00:00,2025-08-08 05:45:00,116405.403615,116521.72171456,115249.58124068,116580.01172042,0.02675193,0.0,3114.06957931,0.3077,100.0,2.2288,ADAPTIVE_BREAKOUT,3.11406958,3.11718131,False,-3.11951687,-0.1001,STOP LOSS,10010.92451914
5,BTCUSDT,2025-08-08 21:00:00,2025-08-09 03:45:00,116946.96426,116273.6138242,116277.00378805,116331.77971405,0.02632147,0.0,3078.21578712,0.1758,91.0,1.9208,IGNITION,3.07821579,3.06049222,False,-23.86228001,-0.7744,STOP LOSS,8071.21422152
6,SOLUSDT,2025-08-08 17:00:00,2025-08-09 14:15:00,175.977945,179.25725501,173.21656162,179.34692848,10.87598837,2.71899709,1913.93408352,0.3,100.0,2.0311,PULLBACK,1.91393408,1.95545302,True,37.64955289,1.9652,STOP LOSS,7736.23540398
7,LINKUSDT,2025-08-09 21:00:00,2025-08-09 21:45:00,21.47073,21.14367283,21.15424995,21.15424995,96.22343541,0.0,2065.98740138,0.3,100.0,2.2847,ADAPTIVE_BREAKOUT,2.0659874,2.03451684,False,-35.57106906,-1.72,STOP LOSS,7700.66433491
8,ETHUSDT,2025-08-09 05:00:00,2025-08-10 03:15:00,4082.950455,4230.65731566,4046.28552483,4232.77370251,0.75043788,0.18760947,3064.00068956,0.2748,100.0,2.2117,ADAPTIVE_BREAKOUT,3.06400069,3.1605018,True,90.27661268,2.9434,STOP LOSS,7421.59613311
9,BTCUSDT,2025-08-10 03:00:00,2025-08-10 06:30:00,117376.648995,117826.48055984,116924.96819596,117885.42327147,0.02262091,0.00565523,2655.1660365,0.1013,100.0,1.9584,ADAPTIVE_BREAKOUT,2.65516604,2.667572,True,7.08322395,0.2665,STOP LOSS,9500.71860308
10,DOGEUSDT,2025-08-10 04:00:00,2025-08-10 06:30:00,0.24274131,0.23633886,0.23645709,0.23645709,2410.78356111,0.0,585.19675975,0.15,100.0,1.7048,PULLBACK,0.58519676,0.56976185,False,-16.58987146,-2.8321,STOP LOSS,10069.91068813
11,ETHUSDT,2025-08-10 17:00:00,2025-08-10 21:15:00,4235.706795,4184.18911847,4186.28225959,4186.28225959,0.74307238,0.0,3147.43672457,0.3645,99.0,2.0636,IGNITION,3.14743672,3.10915536,False,-44.53795455,-1.4136,STOP LOSS,8140.27865234
12,SOLUSDT,2025-08-10 15:00:00,2025-08-11 01:15:00,181.61076,181.36486646,178.69743123,181.45559426,10.36948951,0.0,1883.21087038,0.3,100.0,2.2203,PULLBACK,1.88321087,1.88066108,False,-6.31366243,-0.3349,STOP LOSS,6892.84212791
13,BTCUSDT,2025-08-11 00:00:00,2025-08-11 08:15:00,119353.917135,121303.63019919,118847.55188488,121364.31235537,0.02616666,0.00654167,3123.09384939,0.132,100.0,1.9978,ADAPTIVE_BREAKOUT,3.12309385,3.16758821,True,38.20367844,1.222,STOP LOSS,10057.2627496
14,ETHUSDT,2025-08-11 16:00:00,2025-08-11 18:15:00,4331.90487,4278.75425275,4280.8947001,4280.8947001,0.78864766,0.0,3416.34662805,0.4,100.0,2.2557,ADAPTIVE_BREAKOUT,3.41634663,3.37442952,False,-48.70788593,-1.4243,STOP LOSS,10008.55486366
15,BTCUSDT,2025-08-12 15:00:00,2025-08-12 16:30:00,119496.83856,119616.24577593,118890.52160661,119676.08381784,0.0210896,0.0,2520.14055175,0.1267,100.0,1.8848,IGNITION,2.52014055,2.5226588,False,-2.52454891,-0.1001,STOP LOSS,7562.19084178
16,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,72.32768799,18.081922,1700.55051808,0.3,95.0,2.1112,IGNITION,1.70055052,1.71691444,True,12.94645453,0.7605,STOP LOSS,7575.13729631
17,ETHUSDT,2025-08-12 12:00:00,2025-08-13 15:15:00,4293.08547,4630.88185052,4253.6950723,4633.19844975,0.76225848,0.19056462,3272.44079533,0.3,94.0,2.0257,IGNITION,3.2724408,3.48015318,True,200.95979291,6.1348,STOP LOSS,7765.10654254
18,BTCUSDT,2025-08-13 14:00:00,2025-08-13 15:30:00,121828.853985,120301.41826929,120361.59906883,120361.59906883,0.02012969,0.0,2452.37764202,0.2883,100.0,2.2589,ADAPTIVE_BREAKOUT,2.45237764,2.42163083,False,-35.62082317,-1.4511,STOP LOSS,10184.31573903
19,SOLUSDT,2025-08-13 16:00:00,2025-08-14 06:15:00,197.528715,205.05098493,194.12585186,205.15356171,8.97860006,2.24465002,1773.53133308,0.3,100.0,2.6292,PULLBACK,1.77353133,1.83923307,True,62.08896952,3.4974,STOP LOSS,10246.40470855
20,LINKUSDT,2025-08-14 07:00:00,2025-08-14 08:15:00,23.89194,23.37662299,23.38831714,23.38831714,61.03617766,0.0,1458.27269459,0.3,100.0,2.4075,PULLBACK,1.45827269,1.42681971,False,-34.33807327,-2.3524,STOP LOSS,10212.06663528
21,ETHUSDT,2025-08-14 10:00:00,2025-08-14 10:45:00,4762.38,4703.76491516,4706.11797414,4706.11797414,0.72603618,0.0,3457.66020057,0.4,100.0,2.0646,IGNITION,3.4576602,3.41510353,False,-49.42943624,-1.4281,STOP LOSS,10162.63719904
22,BTCUSDT,2025-08-17 14:00:00,2025-08-17 16:30:00,118489.204995,117909.93299168,117968.91745041,117968.91745041,0.03430739,0.0,4065.05487962,0.1756,100.0,1.8358,IGNITION,4.06505488,4.04518157,False,-27.9835446,-0.6877,STOP LOSS,10134.65365444
23,ETHUSDT,2025-08-17 18:00:00,2025-08-17 19:00:00,4526.171955,4490.53891211,4492.78530476,4492.78530476,0.78369289,0.0,3547.12877905,0.2582,95.0,1.9842,IGNITION,3.54712878,3.51920342,False,-34.99169455,-0.9855,STOP LOSS,10099.66195989
24,BTCUSDT,2025-08-23 10:00:00,2025-08-23 12:00:00,115823.692905,115243.84366688,115289.40454607,115301.49441408,0.03487943,0.0,4039.86478395,0.1845,91.0,1.8534,IGNITION,4.03986478,4.01963997,False,-28.28431764,-0.6994,STOP LOSS,10071.37764224
25,ETHUSDT,2025-08-24 09:00:00,2025-08-24 10:45:00,4779.64863,4738.38457322,4726.15039217,4740.7549507,0.26355875,0.0,1259.71821927,0.14,100.0,2.3341,PULLBACK,1.25971822,1.24884272,False,-13.38406417,-1.0614,STOP LOSS,10057.99357807
26,ETHUSDT,2025-08-28 11:00:00,2025-08-28 14:30:00,4612.305,4557.42150845,4559.70135913,4559.70135913,0.26753136,0.0,1233.93624232,0.14,95.0,2.0598,IGNITION,1.23393624,1.21925319,False,-17.13624472,-1.3874,STOP LOSS,7490.05573711
27,BTCUSDT,2025-08-28 07:00:00,2025-08-28 14:45:00,113270.396895,112509.96288324,112566.24600625,112566.24600625,0.02249708,0.0,2548.2533429,0.1575,100.0,2.1266,ADAPTIVE_BREAKOUT,2.54825334,2.5311458,False,-22.18694503,-0.8698,STOP LOSS,10018.67038833
28,BTCUSDT,2025-09-02 20:00:00,2025-09-03 05:30:00,110861.413005,110704.6434161,109790.5216678,110760.02342781,0.01473483,0.0,1633.52449444,0.1575,89.0,2.0344,IGNITION,1.63352449,1.63121452,False,-5.57471285,-0.3409,STOP LOSS,10013.09567548
29,BTCUSDT,2025-09-04 01:00:00,2025-09-04 02:30:00,112121.6328,111449.53718492,111505.28982983,111505.28982983,0.02560624,0.0,2871.01365575,0.1575,85.0,1.9091,IGNITION,2.87101366,2.85380381,False,-22.93466039,-0.798,STOP LOSS,9210.19864061
30,ETHUSDT,2025-09-03 14:00:00,2025-09-04 02:45:00,4421.499645,4426.76687061,4341.95216598,4428.98136129,0.176226,0.0,779.18319128,0.14,100.0,2.1111,IGNITION,0.77918319,0.78011141,False,-0.63107251,-0.0809,STOP LOSS,9989.52994257
