trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838
2,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,22.05102,21.24919289,21.25982281,21.25982281,37.94591549,0.0,836.74614133,0.3,100.0,2.115,IGNITION,0.83674614,0.80632008,False,-32.06912979,-3.8288,STOP LOSS,9975.49815401
3,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.58380504,0.0,2493.8745385,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.49387454,2.46508745,False,-33.74604727,-1.3518,STOP LOSS,9941.75210674
4,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,70.45186028,17.61296507,1656.446526,0.3,95.0,2.1112,IGNITION,1.65644653,1.67238605,True,12.6106866,0.7605,STOP LOSS,9954.36279334
5,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.21595736,2.30398934,1944.34061243,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.94434061,1.96616492,True,17.91380394,0.9204,STOP LOSS,9972.27659728
6,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,58.85330464,0.0,1364.90171135,0.225,95.0,2.1027,IGNITION,1.36490171,1.36695631,False,-0.67726022,-0.0496,STOP LOSS,9971.59933706
7,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.03771599,0.0,2492.89983426,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49289983,2.50441907,False,6.52191744,0.2614,MARKET SEVERE SHOCK,9978.1212545
8,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,249.94491,250.19466745,247.55472337,250.31982737,9.98032052,0.0,2494.53031363,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.49453031,2.49702297,False,-2.49889387,-0.1001,STOP LOSS,9975.62236063
9,LINKUSDT,2025-09-19 05:00:00,2025-09-19 07:15:00,24.67233,24.35764448,24.3698294,24.3698294,74.1986964,0.0,1830.65472323,0.225,100.0,2.0696,IGNITION,1.83065472,1.80730547,False,-26.98721529,-1.4727,STOP LOSS,9948.63514534
10,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.43834299,0.0,2024.68695725,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.02468696,2.00130138,False,-27.41156868,-1.3525,STOP LOSS,9921.22357667
11,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.34532223,2.83633056,2480.30589417,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.48030589,2.59673069,True,111.34776224,4.4848,STOP LOSS,10032.57133891
12,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.67715571,0.0,2508.14283473,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.50814283,2.47800436,False,-35.124626,-1.399,STOP LOSS,9997.44671291
13,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.44948799,2.862372,2244.76348791,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.24476349,2.28934168,True,40.04408268,1.7821,STOP LOSS,10037.49079558
14,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.65089369,0.0,2167.68809661,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.1676881,2.14403119,False,-27.96862545,-1.289,STOP LOSS,10009.52217014
15,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,138.20907,135.94529201,136.01329866,136.01329866,10.25672596,0.0,1417.57255553,0.225,100.0,2.293,ADAPTIVE_BREAKOUT,1.41757256,1.40038514,False,-20.00537384,-1.4098,STOP LOSS,9989.5167963
16,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,138.979455,137.84732859,136.95201631,137.91628673,11.08611219,0.0,1540.74182995,0.225,100.0,2.2668,ADAPTIVE_BREAKOUT,1.54074183,1.52819095,False,-15.61981321,-1.0128,STOP LOSS,9973.89698309
