event_time,symbol,event_type,details
2025-08-07 10:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 172.23877819; remaining quantity 11.75951821
2025-09-08 11:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 214.51353797; remaining quantity 7.38398560
2025-10-02 00:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 222.38032224; remaining quantity 9.08679551
2025-10-26 13:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 198.90545495; remaining quantity 9.17115059
2025-12-08 15:00:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.12140500; remaining quantity 5.13371144
2026-01-04 00:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 134.77482929; remaining quantity 14.14492027
2026-01-06 00:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.03145000; remaining quantity 9.02947141
2026-01-06 14:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 140.58089645; remaining quantity 7.22357713
2026-01-06 15:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 141.81905500; remaining quantity 3.61178856
2026-03-13 14:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 92.83886740; remaining quantity 19.44855956
2026-03-15 22:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 92.19655614; remaining quantity 16.29149046
2026-03-16 22:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 97.43608637; remaining quantity 20.81992775
2026-04-10 15:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 85.27534359; remaining quantity 23.50362172
2026-04-22 14:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 88.96253481; remaining quantity 22.62198528
