trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,2.93987955,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.50835976,True,3.35140218,0.1339,STOP LOSS,10003.35140218
2,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.62173328,0.0,2500.83785055,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.50083785,2.47197039,False,-33.84027184,-1.3518,STOP LOSS,9969.51113034
3,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.229982,1.8459964,1947.29946851,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.94729947,1.96544769,True,14.2354758,0.7303,STOP LOSS,9983.74660615
4,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,223.94604518,11.05116199,0.0,2495.93665154,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49593665,2.50746992,False,6.52986236,0.2614,MARKET SEVERE SHOCK,9990.2764685
5,SOLUSDT,2025-09-18 17:00:00,2025-09-18 19:45:00,249.94491,247.430946,247.55472337,247.55472337,9.99247841,0.0,2497.56911713,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.49756912,2.47244839,False,-30.09074846,-1.2036,STOP LOSS,9960.18572005
6,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.4493011,0.0,2027.03766141,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.02703766,2.00362493,False,-27.44339408,-1.3525,STOP LOSS,9932.74232596
7,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.35849439,2.27169888,2483.18558149,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.48318558,2.60076051,True,112.49098242,4.5256,STOP LOSS,10045.23330838
8,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.6906312,0.0,2511.3083271,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.51130833,2.48113181,False,-35.16895631,-1.399,STOP LOSS,10010.06435208
9,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.46393823,2.29278765,2247.59657285,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.24759657,2.29002892,True,37.89471757,1.6843,STOP LOSS,10047.95906964
10,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.66200169,0.0,2169.9488163,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.16994882,2.14626724,False,-27.99779442,-1.289,STOP LOSS,10019.96127523
