event_time,symbol,event_type,details
2025-08-07 10:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 171.48917129; remaining quantity 11.75951821
2025-09-08 10:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 213.29900774; remaining quantity 7.38236053
2025-09-11 12:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 227.64581498; remaining quantity 8.83700091
2025-09-18 17:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 252.20892909; remaining quantity 7.99175372
2025-10-02 00:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 221.09019662; remaining quantity 9.09296212
2025-10-26 12:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 197.92362030; remaining quantity 9.17469955
2025-12-08 15:00:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.12140500; remaining quantity 5.13454858
2026-01-04 00:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 134.13987512; remaining quantity 14.14722685
2026-01-05 20:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 139.79725278; remaining quantity 14.44626576
2026-01-06 00:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.03145000; remaining quantity 7.22313288
2026-01-06 15:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 141.81905500; remaining quantity 3.61156644
2026-01-12 03:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 143.73063973; remaining quantity 13.72288278
2026-03-13 14:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 92.22590402; remaining quantity 19.47185447
2026-03-15 22:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 91.46436326; remaining quantity 16.30612094
2026-03-16 22:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 96.88071627; remaining quantity 20.83240103
2026-04-10 14:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 84.88688872; remaining quantity 23.51089777
2026-04-22 09:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 20% at 88.44834926; remaining quantity 22.62377264
