trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,2.93987955,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.50615601,True,1.14985196,0.0459,STOP LOSS,10001.14985196
2,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.61873539,0.0,2500.28746299,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.50028746,2.47142635,False,-33.83282423,-1.3518,STOP LOSS,9967.31702773
3,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.22795066,1.84559013,1946.87090438,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.9468709,1.96277361,True,11.99305936,0.6154,STOP LOSS,9979.31008708
4,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,223.94604518,11.04625114,2.20925023,2494.82752177,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49482752,2.5080111,True,8.18074055,0.3276,MARKET SEVERE SHOCK,9987.49082763
5,SOLUSDT,2025-09-18 17:00:00,2025-09-18 19:45:00,249.94491,247.430946,247.55472337,247.55472337,9.98969216,1.99793843,2496.87270691,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.49687271,2.4813051,True,-20.54578819,-0.822,STOP LOSS,9966.94503944
6,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.45571372,0.0,2028.41327782,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.02841328,2.00498466,False,-27.4620181,-1.3525,STOP LOSS,9939.48302134
7,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.36620265,2.27324053,2484.87075534,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.48487076,2.59959271,True,109.63748952,4.4078,STOP LOSS,10049.12051086
8,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.69476816,0.0,2512.28012772,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.51228013,2.48209193,False,-35.18256563,-1.399,STOP LOSS,10013.93794523
9,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.46837443,2.29367489,2248.46632497,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.24846632,2.28866308,True,35.65962422,1.5844,STOP LOSS,10049.59756945
10,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.66374032,0.0,2170.30266534,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.17030267,2.14661723,False,-28.00235996,-1.289,STOP LOSS,10021.59520949
11,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,138.20907,135.94529201,136.01329866,136.01329866,10.26909716,0.0,1419.28236834,0.225,100.0,2.293,ADAPTIVE_BREAKOUT,1.41928237,1.40207422,False,-20.02950343,-1.4098,STOP LOSS,10001.56570607
12,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,138.979455,137.84732859,136.95201631,137.91628673,11.09948376,0.0,1542.60020405,0.225,100.0,2.2668,ADAPTIVE_BREAKOUT,1.5426002,1.53003419,False,-15.63865313,-1.0128,STOP LOSS,9985.92705293
