trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838
2,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.62747412,0.0,2501.89182095,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.50189182,2.47301219,False,-33.85453372,-1.3518,STOP LOSS,9973.71275008
3,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.23387195,2.30846799,1948.12015187,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.94812015,1.96998688,True,17.94862599,0.9204,STOP LOSS,9991.66137607
4,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.05992297,0.0,2497.91534402,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49791534,2.50945776,False,6.53503901,0.2614,MARKET SEVERE SHOCK,9998.19641508
5,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,249.94491,250.19466745,247.55472337,250.31982737,10.0004001,0.0,2499.54910377,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.4995491,2.50204678,False,-2.50392144,-0.1001,STOP LOSS,9995.69249364
6,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.48298664,0.0,2034.26378844,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.03426379,2.01076759,False,-27.54122623,-1.3525,STOP LOSS,9968.1512674
7,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.39898595,2.84974649,2492.03781685,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.49203782,2.60901331,True,111.87444056,4.4848,STOP LOSS,10080.02570796
8,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.72765899,0.0,2520.00642699,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.52000643,2.48972539,False,-35.29076656,-1.399,STOP LOSS,10044.73494141
9,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.50364442,2.87591111,2255.38128782,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.25538129,2.30017033,True,40.23349241,1.7821,STOP LOSS,10084.96843382
10,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.70127274,0.0,2177.94132755,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.17794133,2.15417252,False,-28.1009179,-1.289,STOP LOSS,10056.86751592
