event_time,symbol,event_type,details
2025-08-07 10:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 172.98838508; remaining quantity 11.02454832
2025-09-08 11:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 215.72806820; remaining quantity 6.92540396
2025-10-02 02:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 223.67044787; remaining quantity 8.52562426
2025-10-26 22:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 199.88728959; remaining quantity 8.60390129
2025-12-08 15:00:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.12140500; remaining quantity 5.13838742
2026-01-04 16:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 135.40978346; remaining quantity 13.27294127
2026-01-06 00:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.03145000; remaining quantity 9.04147216
2026-01-06 14:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 141.36454011; remaining quantity 6.78110412
2026-01-06 15:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 141.81905500; remaining quantity 3.39055206
2026-03-15 23:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 92.92874902; remaining quantity 15.28354827
