trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838
2,ETHUSDT,2025-08-09 06:00:00,2025-08-10 03:15:00,4184.040975,4230.65731566,4083.37916963,4232.77370251,0.39767088,0.0,1663.87127354,0.4,100.0,2.329,ETH_365D,1.66387127,1.68240923,False,15.19168089,0.9121,STOP LOSS,10022.75896469
3,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,22.05102,21.24919289,21.25982281,21.25982281,38.00351812,0.0,838.01633817,0.3,100.0,2.115,IGNITION,0.83801634,0.80754409,False,-32.11781135,-3.8288,STOP LOSS,9990.64115334
4,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.60442552,0.0,2497.66028834,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.49766029,2.4688295,False,-33.79727442,-1.3518,STOP LOSS,9956.84387892
5,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,71.11935362,17.7798384,1672.14046237,0.3,95.0,2.1112,IGNITION,1.67214046,1.688231,True,12.73016605,0.7605,STOP LOSS,8619.75820077
6,ETHUSDT,2025-08-12 13:00:00,2025-08-13 15:15:00,4409.46363,4630.88185052,4336.94675904,4633.19844975,0.41191148,0.10297787,1816.30868956,0.3,100.0,2.2972,ETH_365D,1.81630869,1.89941298,True,79.38856811,4.3665,STOP LOSS,10048.96261307
7,ETHUSDT,2025-08-22 18:00:00,2025-08-22 22:45:00,4801.909755,4806.70806332,4723.5530374,4809.11261963,0.38473903,0.0,1847.48212059,0.3,100.0,2.2954,ETH_365D,1.84748212,1.84932822,False,-1.85071383,-0.1001,STOP LOSS,10047.11189924
8,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.30182642,2.32545661,1962.45687533,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.96245688,1.98448453,True,18.0807146,0.9204,STOP LOSS,10065.19261385
9,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,59.40166635,0.0,1377.61909126,0.225,95.0,2.1027,IGNITION,1.37761909,1.37969283,False,-0.68357055,-0.0496,STOP LOSS,10064.5090433
10,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.14055917,0.0,2516.12726083,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.51612726,2.52775383,False,6.58268497,0.2614,MARKET SEVERE SHOCK,10071.09172827
11,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,249.94491,250.19466745,247.55472337,250.31982737,10.07331148,0.0,2517.77293207,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.51777293,2.52028882,False,-2.52217715,-0.1001,STOP LOSS,10068.56955112
12,LINKUSDT,2025-09-19 05:00:00,2025-09-19 07:15:00,24.67233,24.35764448,24.3698294,24.3698294,74.89003777,0.0,1847.7117255,0.225,100.0,2.0696,IGNITION,1.84771173,1.82414492,False,-27.23866685,-1.4727,STOP LOSS,10041.33088427
13,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.52628411,0.0,2043.55184182,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.04355184,2.01994837,False,-27.66697412,-1.3525,STOP LOSS,10013.66391015
14,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.45103151,2.86275788,2503.41597754,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.50341598,2.62092556,True,112.38523753,4.4848,STOP LOSS,10126.04914768
15,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.77663939,0.0,2531.51228692,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.53151229,2.50109299,False,-35.45189734,-1.399,STOP LOSS,10090.59725033
16,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.55616783,2.88904196,2265.67892075,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.26567892,2.31067246,True,40.41719072,1.7821,STOP LOSS,10131.01444106
17,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.75013267,0.0,2187.88538467,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.18788538,2.16400806,False,-28.22922124,-1.289,STOP LOSS,10102.78521982
18,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,138.20907,135.94529201,136.01329866,136.01329866,10.35229231,0.0,1430.78069249,0.225,100.0,2.293,ADAPTIVE_BREAKOUT,1.43078069,1.41343313,False,-20.19177256,-1.4098,STOP LOSS,10082.59344726
19,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,138.979455,137.84732859,136.95201631,137.91628673,11.18940629,0.0,1555.09758833,0.225,100.0,2.2668,ADAPTIVE_BREAKOUT,1.55509759,1.54242977,False,-15.76534977,-1.0128,STOP LOSS,10066.82809749
20,SOLUSDT,2026-01-03 22:00:00,2026-01-04 19:15:00,132.936435,133.22309713,131.66589139,133.289742,17.82730087,4.45682522,2369.89782283,0.225,100.0,2.2222,ADAPTIVE_BREAKOUT,2.36989782,2.38475391,True,10.10143908,0.4258,STOP LOSS,10076.92953658
21,LINKUSDT,2026-01-05 15:00:00,2026-01-06 00:45:00,13.62681,13.66017984,13.4386492,13.66701334,160.66464486,40.16616121,2189.34658917,0.3,98.0,2.0842,IGNITION,2.18934659,2.20898382,True,15.2388975,0.6954,STOP LOSS,10092.16843407
22,LINKUSDT,2026-01-06 15:00:00,2026-01-06 16:30:00,14.10705,13.783105,13.74451713,13.74451713,83.51382233,0.0,1178.1336673,0.3,100.0,2.1378,IGNITION,1.17813367,1.15859227,False,-21.87812522,-1.8552,MARKET SEVERE SHOCK,10070.29030885
23,SOLUSDT,2026-01-12 03:00:00,2026-01-12 03:45:00,142.49121,142.63359434,141.179879,142.70494681,17.27874443,0.0,2462.06920084,0.225,100.0,2.2154,ADAPTIVE_BREAKOUT,2.4620692,2.46452942,False,-2.46637598,-0.1001,STOP LOSS,10067.82393288
24,SOLUSDT,2026-01-12 16:00:00,2026-01-12 17:00:00,142.65129,142.7938343,141.20035204,142.86526694,15.61238621,0.0,2227.12703322,0.225,100.0,2.2329,ADAPTIVE_BREAKOUT,2.22712703,2.22935249,False,-2.23102284,-0.1001,STOP LOSS,10065.59291004
25,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,14.097045,14.002995,13.90297959,13.90297959,155.60103481,0.0,2193.51478977,0.3,99.0,2.0838,IGNITION,2.19351479,2.17888051,False,-19.00667263,-0.8656,MARKET SEVERE SHOCK,10046.58623742
26,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,9.30465,9.14006612,9.14463844,9.14463844,141.26991235,0.0,1314.46708999,0.225,100.0,2.107,IGNITION,1.31446709,1.29121634,False,-25.8564336,-1.9651,STOP LOSS,10020.72980382
27,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,9.394695,9.27536,9.2444925,9.2444925,200.14439863,0.0,1880.2955811,0.3,100.0,2.1,IGNITION,1.88029558,1.85641135,False,-27.62093874,-1.4675,MARKET SEVERE SHOCK,9993.10886508
28,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,88.38417,87.1311526,87.17473997,87.17473997,18.59098456,0.0,1643.1487396,0.225,100.0,2.2477,ADAPTIVE_BREAKOUT,1.64314874,1.61985391,False,-26.55782972,-1.6147,STOP LOSS,9966.55103535
