event_time,symbol,event_type,details
2025-08-07 10:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 172.98838508; remaining quantity 11.02454832
2025-08-12 20:30:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 4552.22012323; remaining quantity 0.30910760
2025-08-13 11:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 24.34625549; remaining quantity 53.36955663
2025-09-08 11:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 215.72806820; remaining quantity 6.98354769
2025-10-02 02:45:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 223.67044787; remaining quantity 8.59710996
2025-10-26 22:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 199.88728959; remaining quantity 8.67604333
2025-12-08 15:00:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 137.12140500; remaining quantity 5.18147181
2026-01-04 16:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 135.40978346; remaining quantity 13.38423231
2026-01-05 20:45:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 13.99613004; remaining quantity 120.62246254
2026-01-06 00:45:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 13.67316000; remaining quantity 60.31123127
2026-01-06 15:45:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 13.96301500; remaining quantity 41.79987416
2026-03-15 23:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 92.92874902; remaining quantity 15.31543132
