trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838
2,ETHUSDT,2025-08-09 06:00:00,2025-08-10 03:00:00,4184.040975,4244.866505,4083.37916963,4232.77370251,0.39767088,0.0,1663.87127354,0.4,100.0,2.329,ETH_365D,1.66387127,1.68805982,False,20.8366112,1.251,EMA10 CLOSE EXIT,10028.403895
3,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,22.05102,21.24919289,21.25982281,21.25982281,38.02492213,0.0,838.48831837,0.3,100.0,2.115,IGNITION,0.83848832,0.80799891,False,-32.13590046,-3.8288,STOP LOSS,9996.26799454
4,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.61208768,0.0,2499.06699863,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.499067,2.47021998,False,-33.81630943,-1.3518,STOP LOSS,9962.45168511
5,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,71.15940883,17.78985221,1673.08223064,0.3,95.0,2.1112,IGNITION,1.67308223,1.68918183,True,12.73733582,0.7605,STOP LOSS,8624.61294531
6,ETHUSDT,2025-08-12 13:00:00,2025-08-13 15:00:00,4409.46363,4646.03582,4336.94675904,4633.19844975,0.41214347,0.10303587,1817.331655,0.3,100.0,2.2972,ETH_365D,1.81733165,1.90516696,True,84.11280364,4.6237,EMA10 CLOSE EXIT,10059.30182457
7,ETHUSDT,2025-08-22 18:00:00,2025-08-22 22:45:00,4801.909755,4806.70806332,4723.5530374,4809.11261963,0.38513489,0.0,1849.3829644,0.3,100.0,2.2954,ETH_365D,1.84938296,1.85123096,False,-1.852618,-0.1001,STOP LOSS,10057.44920657
8,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.31139692,2.32784923,1964.47601477,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.96447601,1.98652633,True,18.09931755,0.9204,STOP LOSS,10075.54852412
9,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,59.46278374,0.0,1379.03650076,0.225,95.0,2.1027,IGNITION,1.3790365,1.38111238,False,-0.68427386,-0.0496,STOP LOSS,10074.86425026
10,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.1520215,0.0,2518.71606257,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.51871606,2.53035459,False,6.58945779,0.2614,MARKET SEVERE SHOCK,10081.45370805
