trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,ETHUSDT,2021-01-02 14:00:00,2021-01-02 20:15:00,771.155385,774.89393336,752.4280767,775.28157415,2.13591827,0.0,1647.12487768,0.4,100.0,2.33,ETH_365D,1.64712488,1.65511011,False,4.68299876,0.284,STOP LOSS,10004.68299876
2,ETHUSDT,2021-01-03 09:00:00,2021-01-03 15:00:00,817.718655,896.12064051,797.76317062,896.56892497,2.00540018,0.50135005,1639.85313933,0.4,100.0,2.407,ETH_365D,1.63985314,1.77756804,True,134.29747549,8.1814,STOP LOSS,10138.98047425
3,ETHUSDT,2021-01-04 04:00:00,2021-01-04 07:00:00,1021.920705,1094.24964486,989.86155092,1094.79704338,1.26503406,0.15812926,1292.7645001,0.4,100.0,2.3458,ETH_365D,1.2927645,1.37858563,True,83.14977993,6.4255,STOP LOSS,10222.13025419
4,LINKUSDT,2021-01-06 03:00:00,2021-01-06 09:15:00,14.4468198,14.4919504,14.06307632,14.14643337,79.91377649,0.0,1154.49992847,0.3,95.0,2.1423,IGNITION,1.15449993,1.15362556,False,-3.18249009,-0.2754,MARKET SEVERE SHOCK,10218.9477641
5,ETHUSDT,2021-01-07 13:00:00,2021-01-07 18:30:00,1227.47343,1246.686345,1196.92960965,1245.25533401,1.33826714,0.0,1642.68735488,0.4,100.0,2.3696,ETH_365D,1.64268735,1.66839937,False,22.40092606,1.3623,MARKET SEVERE SHOCK,10241.34869016
6,ETHUSDT,2021-01-10 02:00:00,2021-01-10 10:30:00,1324.16175,1314.96219,1286.59337927,1315.1900466,1.09042245,0.0,1443.89569622,0.4,100.0,2.3347,ETH_365D,1.4438957,1.43386429,False,-12.90916672,-0.8932,MARKET SEVERE SHOCK,10228.43952344
7,ETHUSDT,2021-01-19 08:00:00,2021-01-19 13:00:00,1375.417365,1376.7917508,1331.90049222,1377.48049105,0.94018149,0.0,1293.14194127,0.4,100.0,2.3674,ETH_365D,1.29314194,1.29443411,False,-1.29540397,-0.1001,STOP LOSS,10227.14411947
8,ETHUSDT,2021-01-25 01:00:00,2021-01-25 01:30:00,1457.698485,1418.71716074,1419.42687418,1419.42687418,0.37411547,0.0,545.34755754,0.14,100.0,2.3344,ETH_365D,0.54534756,0.53076404,False,-15.65962814,-2.8686,STOP LOSS,10211.48449133
9,LINKUSDT,2021-02-02 13:00:00,2021-02-02 15:45:00,23.1399642,22.80781406,22.81922368,22.81922368,95.51163994,0.0,2210.13592896,0.3,95.0,2.0427,IGNITION,2.21013593,2.17841172,False,-36.11275187,-1.6323,STOP LOSS,10175.37173946
10,ETHUSDT,2021-02-02 17:00:00,2021-02-03 08:15:00,1494.196725,1515.691775,1458.19802812,1512.54654279,1.13063779,0.28265945,1689.39527776,0.4,100.0,2.3351,ETH_365D,1.68939528,1.72775201,True,34.93958323,2.0661,MARKET SEVERE SHOCK,10210.31132269
