event_time,symbol,event_type,details
2023-01-26 20:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 7.25838925; remaining quantity 174.18688234
2023-01-27 00:30:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 7.14742450; remaining quantity 87.09344117
2023-02-08 15:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 7.10844400; remaining quantity 167.49938611
2023-02-17 15:00:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 7.27835900; remaining quantity 131.26919689
2023-03-29 08:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 21.43312613; remaining quantity 83.17990264
2023-04-01 06:30:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 7.51524050; remaining quantity 56.37217902
2023-04-17 00:30:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 8.02898350; remaining quantity 96.44709118
2023-04-26 12:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 22.71811189; remaining quantity 64.70407645
2023-04-28 13:45:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 22.26886000; remaining quantity 51.02251530
2023-05-30 04:45:00,PORTFOLIO,HARD LOCK,Drawdown 5.03%
