trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,LINKUSDT,2023-01-04 16:00:00,2023-01-04 19:30:00,5.8159065,5.74224692,5.74511948,5.74511948,317.85487636,0.0,1848.61424148,0.225,100.0,2.1138,IGNITION,1.84861424,1.82520118,False,-27.08687255,-1.4638,STOP LOSS,9972.91312745
2,LINKUSDT,2023-01-08 20:00:00,2023-01-08 22:00:00,5.8299135,5.83573904,5.78728892,5.83865837,427.66128209,0.0,2493.22828186,0.1828,95.0,2.0563,IGNITION,2.49322828,2.49571964,False,-2.49758956,-0.1001,STOP LOSS,9970.41553789
3,LINKUSDT,2023-01-18 08:00:00,2023-01-18 08:30:00,6.8624295,6.77608225,6.77947199,6.77947199,360.56105071,0.0,2474.32479093,0.3,95.0,2.1063,IGNITION,2.47432479,2.44319134,False,-36.05096951,-1.4555,STOP LOSS,9934.36456838
4,LINKUSDT,2023-01-21 17:00:00,2023-01-21 23:00:00,6.999498,6.9335315,6.85103154,6.92977727,200.73956811,0.0,1405.07620547,0.3,100.0,2.1462,IGNITION,1.40507621,1.39183412,False,-16.03899704,-1.1404,MARKET SEVERE SHOCK,9918.32557133
5,LINKUSDT,2023-01-23 01:00:00,2023-01-23 15:00:00,7.1185575,6.9115425,6.91345434,6.95372911,145.07322163,0.0,1032.7120699,0.3,100.0,2.1289,IGNITION,1.03271207,1.00267974,False,-32.06772478,-3.1021,MARKET SEVERE SHOCK,9886.25784655
6,LINKUSDT,2023-01-24 11:00:00,2023-01-24 13:45:00,7.1145555,7.02992221,7.03343893,7.03343893,347.39548544,0.0,2471.56446164,0.285,95.0,2.0597,IGNITION,2.47156446,2.44216324,False,-34.31495049,-1.387,STOP LOSS,9851.94289606
7,LINKUSDT,2023-01-26 17:00:00,2023-01-27 01:30:00,7.007502,7.01483539,6.88024287,7.01834456,232.24917645,58.06229411,1627.48656848,0.3,100.0,2.1371,IGNITION,1.62748657,1.65487868,True,24.10974621,1.4799,STOP LOSS,9876.05264227
8,LINKUSDT,2023-01-29 15:00:00,2023-01-29 16:15:00,7.397697,7.29914197,7.30279336,7.30279336,312.19201561,0.0,2309.50193728,0.3,100.0,2.0416,IGNITION,2.30950194,2.27873384,False,-35.3563306,-1.5294,STOP LOSS,9840.69631168
9,LINKUSDT,2023-02-03 15:00:00,2023-02-04 05:30:00,7.2626295,7.13725532,7.13165044,7.14082574,225.39548129,0.0,1636.96387161,0.3,100.0,2.1358,IGNITION,1.63696387,1.6087051,False,-31.50444194,-1.9226,STOP LOSS,9809.19186974
10,LINKUSDT,2023-02-08 12:00:00,2023-02-08 15:15:00,7.229613,7.13819828,7.14176917,7.14176917,334.99877222,0.0,2421.91147864,0.3,95.0,2.0684,IGNITION,2.42191148,2.38630384,False,-40.41585721,-1.6671,STOP LOSS,9768.77601253
