event_time,symbol,event_type,details
2024-01-28 01:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 94.65787178; remaining quantity 16.69735686
2024-01-30 16:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 15.48549996; remaining quantity 116.75978613
2024-01-31 20:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 15.52323450; remaining quantity 48.56225517
2024-02-10 21:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 18.74865866; remaining quantity 100.97952106
2024-02-15 14:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 2837.27279091; remaining quantity 0.66372524
2024-02-19 16:45:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 2931.88204561; remaining quantity 0.74585991
2024-02-27 02:00:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3202.37586893; remaining quantity 0.82994090
2024-02-28 10:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3367.41093318; remaining quantity 0.79640531
2024-03-02 04:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 20.56992853; remaining quantity 74.53436328
2024-03-05 04:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3711.32044372; remaining quantity 0.71996874
2024-04-08 11:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 18.59666533; remaining quantity 70.20795028
2024-05-05 16:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 14.57132136; remaining quantity 128.57523237
2024-05-06 08:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 151.72256511; remaining quantity 12.38306733
2024-05-20 20:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 184.76862611; remaining quantity 9.01884832
2024-07-15 00:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 149.36433211; remaining quantity 7.37777969
2024-07-26 14:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 182.91905129; remaining quantity 6.95140897
2024-07-29 05:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 193.69266535; remaining quantity 7.88392633
2024-07-29 14:15:00,SOLUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 188.41574500; remaining quantity 3.94196317
2024-08-20 14:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 10.34482500; remaining quantity 117.53913285
2024-08-24 11:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 158.51410668; remaining quantity 11.77787945
2024-09-20 04:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 144.31106131; remaining quantity 11.78282125
2024-09-26 16:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 12.70232796; remaining quantity 74.73194041
2024-10-22 07:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 12.10839364; remaining quantity 113.85268035
2024-10-30 03:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 11.93358555; remaining quantity 120.27934953
2024-11-08 00:15:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 198.29674037; remaining quantity 7.75462711
2024-11-16 19:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 14.65834597; remaining quantity 99.77001653
2024-11-16 23:00:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 14.53273000; remaining quantity 49.88500827
2024-11-17 11:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 14.09295000; remaining quantity 51.10034968
2024-11-22 23:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 15.88510700; remaining quantity 74.38691160
2024-12-04 15:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 26.15967819; remaining quantity 29.10876647
