event_time,symbol,event_type,details
2024-01-28 01:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 94.65787178; remaining quantity 16.69735686
2024-01-30 16:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 15.48549996; remaining quantity 116.75978613
2024-01-31 20:15:00,LINKUSDT,MARKET SHOCK REDUCTION,Reduced 50% at 15.52323450; remaining quantity 48.56225517
2024-02-10 21:30:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 18.74865866; remaining quantity 100.97952106
2024-02-27 02:00:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3202.37586893; remaining quantity 0.81875456
2024-02-28 10:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3367.41093318; remaining quantity 0.78567099
2024-03-02 04:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 20.56992853; remaining quantity 73.52975404
2024-03-05 04:15:00,ETHUSDT,2R PARTIAL PROFIT,Reduced 25% at 3711.32044372; remaining quantity 0.71026467
2024-04-08 11:00:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 18.59666533; remaining quantity 69.26165447
2024-05-05 16:15:00,LINKUSDT,2R PARTIAL PROFIT,Reduced 25% at 14.57132136; remaining quantity 126.84223485
2024-05-06 08:30:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 151.72256511; remaining quantity 12.21616252
2024-05-20 20:00:00,SOLUSDT,2R PARTIAL PROFIT,Reduced 25% at 184.76862611; remaining quantity 8.89728804
2024-05-29 08:00:00,PORTFOLIO,HARD LOCK,Drawdown 5.02%
