trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
1,LINKUSDT,2025-01-02 17:00:00,2025-01-02 21:15:00,22.301145,21.97092346,21.98191441,21.98191441,70.48196824,0.0,1571.82859363,0.225,95.0,2.1885,IGNITION,1.57182859,1.54855393,False,-26.39504682,-1.6776,STOP LOSS,9973.60495318
2,SOLUSDT,2025-01-03 12:00:00,2025-01-04 03:15:00,214.62726,215.66754443,211.61435303,215.77543215,9.9308791,0.0,2131.43736969,0.3,100.0,2.2677,ADAPTIVE_BREAKOUT,2.13143737,2.14176831,False,6.05773321,0.2839,STOP LOSS,9979.66268639
3,LINKUSDT,2025-01-06 02:00:00,2025-01-06 07:15:00,23.621805,23.64540909,23.1770701,23.65723771,67.31872805,0.0,1590.18986678,0.3,100.0,2.1151,IGNITION,1.59018987,1.59177886,False,-1.59297151,-0.1001,STOP LOSS,9978.06971489
4,SOLUSDT,2025-01-06 14:00:00,2025-01-06 14:30:00,218.80935,216.65450372,216.76288516,216.76288516,11.40041515,0.0,2494.51742872,0.2338,100.0,2.2183,ADAPTIVE_BREAKOUT,2.49451743,2.46995129,False,-29.5306109,-1.1826,STOP LOSS,9948.53910398
5,SOLUSDT,2025-01-17 09:00:00,2025-01-17 15:30:00,216.38814,216.60436585,213.49359326,216.71272221,10.3109813,0.0,2231.17406513,0.3,100.0,2.273,ADAPTIVE_BREAKOUT,2.23117407,2.23340357,False,-2.23507695,-0.1001,STOP LOSS,9946.30402704
6,LINKUSDT,2025-01-18 14:00:00,2025-01-18 16:15:00,24.77238,23.96661877,23.97860808,23.97860808,37.59129192,0.0,931.22576806,0.3,100.0,2.1098,IGNITION,0.93122577,0.90093616,False,-32.12176744,-3.446,STOP LOSS,9914.1822596
7,LINKUSDT,2025-01-24 04:00:00,2025-01-24 21:00:00,25.23261,25.35118876,24.73641251,25.36387069,44.95570918,11.2389273,1134.34987709,0.225,100.0,2.1832,IGNITION,1.13434988,1.14935406,True,12.7204747,1.1203,STOP LOSS,9926.9027343
8,LINKUSDT,2025-01-26 17:00:00,2025-01-26 21:30:00,25.702845,25.87313929,25.2552266,25.88608233,49.89859974,0.0,1282.53597486,0.225,100.0,2.1082,IGNITION,1.28253597,1.29103342,False,5.92387723,0.4614,STOP LOSS,9932.82661153
9,LINKUSDT,2025-03-20 09:00:00,2025-03-20 10:15:00,14.817405,14.531981,14.53925062,14.53925062,80.34696395,0.0,1190.53350541,0.225,95.0,2.1148,IGNITION,1.19053351,1.16760055,False,-25.29108626,-2.1222,STOP LOSS,9907.53552527
10,SOLUSDT,2025-03-24 01:00:00,2025-03-24 02:00:00,134.78736,133.07980093,133.14637412,133.14637412,13.58448916,0.0,1831.01743108,0.225,100.0,2.2812,ADAPTIVE_BREAKOUT,1.83101743,1.80782111,False,-26.83515621,-1.4641,STOP LOSS,9880.70036906
11,LINKUSDT,2025-03-25 00:00:00,2025-03-25 03:30:00,15.137565,14.9671625,14.97464982,14.97464982,163.1817992,0.0,2470.17509226,0.2691,95.0,2.0514,IGNITION,2.47017509,2.44236851,False,-32.71913055,-1.3232,STOP LOSS,9847.98123851
12,SOLUSDT,2025-03-25 10:00:00,2025-03-25 12:15:00,142.921425,141.16007067,141.23068602,141.23068602,13.10548701,0.0,1873.05487943,0.225,100.0,2.2564,ADAPTIVE_BREAKOUT,1.87305488,1.84997147,False,-26.8064326,-1.4297,STOP LOSS,9821.17480591
13,SOLUSDT,2025-04-19 04:00:00,2025-04-19 15:45:00,138.88941,139.02819524,137.50698699,139.09774412,15.98471902,0.0,2220.10819408,0.225,100.0,2.2293,ADAPTIVE_BREAKOUT,2.22010819,2.22232664,False,-2.22399172,-0.1001,STOP LOSS,9818.95081419
14,SOLUSDT,2025-04-22 13:00:00,2025-04-23 14:00:00,141.51072,149.66388165,139.89500231,149.73875103,17.34665546,4.33666386,2454.73770355,0.2854,100.0,2.2722,ADAPTIVE_BREAKOUT,2.4547377,2.57451007,True,114.74311679,4.6697,STOP LOSS,9933.69393098
15,LINKUSDT,2025-04-24 15:00:00,2025-04-25 13:30:00,14.86743,14.88228628,14.45816011,14.88973114,72.81523082,0.0,1082.57534708,0.3,100.0,2.1419,IGNITION,1.08257535,1.08365711,False,-1.08446904,-0.1001,STOP LOSS,9932.60946194
16,LINKUSDT,2025-04-26 02:00:00,2025-04-26 09:45:00,15.22761,14.89352195,14.90097244,14.90097244,91.22597067,0.0,1389.15350319,0.3,100.0,2.0275,IGNITION,1.3891535,1.358676,False,-33.22533572,-2.3894,STOP LOSS,9899.38412622
17,LINKUSDT,2025-04-29 07:00:00,2025-04-29 13:30:00,15.18759,14.87107483,14.81071505,14.87851408,78.80107709,0.0,1196.79845037,0.3,100.0,2.1356,IGNITION,1.19679845,1.17185671,False,-27.31039165,-2.2797,STOP LOSS,9872.07373456
18,SOLUSDT,2025-05-01 15:00:00,2025-05-01 17:45:00,153.086505,151.45682471,151.532591,151.532591,16.12172434,0.0,2468.01843364,0.2538,100.0,2.2326,ADAPTIVE_BREAKOUT,2.46801843,2.44174518,False,-31.18302008,-1.2622,STOP LOSS,9840.89071448
19,LINKUSDT,2025-05-11 18:00:00,2025-05-12 01:45:00,16.898445,16.91533077,16.50855787,16.92379267,75.72107383,0.0,1279.56840149,0.3,99.0,2.1307,IGNITION,1.2795684,1.28084701,False,-1.28180669,-0.1001,STOP LOSS,9839.6089078
20,SOLUSDT,2025-05-13 18:00:00,2025-05-14 02:15:00,178.419165,180.35983615,175.89172803,180.45006118,11.67935229,2.91983807,2083.82028386,0.3,100.0,2.2666,ADAPTIVE_BREAKOUT,2.08382028,2.11531118,True,27.2917612,1.3084,STOP LOSS,9866.900669
21,SOLUSDT,2025-05-18 14:00:00,2025-05-18 18:00:00,172.916415,173.08920173,171.07868003,173.17578962,14.26541932,3.56635483,2466.72516725,0.2657,100.0,2.2401,ADAPTIVE_BREAKOUT,2.46672517,2.47641689,True,4.7485844,0.1923,STOP LOSS,9871.6492534
22,LINKUSDT,2025-05-20 09:00:00,2025-05-20 10:15:00,15.98799,15.75426664,15.76214772,15.76214772,131.13110227,0.0,2096.52275183,0.3,95.0,2.0868,IGNITION,2.09652275,2.06587435,False,-34.81079876,-1.6587,STOP LOSS,9836.83845463
23,SOLUSDT,2025-05-22 04:00:00,2025-05-22 11:30:00,176.918415,177.09520073,174.02442621,177.18379262,10.19717681,0.0,1804.06835923,0.3,100.0,2.2844,ADAPTIVE_BREAKOUT,1.80406836,1.80587107,False,-1.80722413,-0.1001,STOP LOSS,9835.03123051
24,SOLUSDT,2025-05-23 02:00:00,2025-05-23 06:30:00,183.23157,180.51355985,180.60386178,180.60386178,11.22845128,0.0,2057.40675646,0.3,100.0,2.2815,ADAPTIVE_BREAKOUT,2.05740676,2.02688771,False,-34.60333899,-1.6802,STOP LOSS,9800.42789151
25,LINKUSDT,2025-05-28 11:00:00,2025-05-28 14:15:00,15.937965,15.76689589,15.77478329,15.77478329,135.13133481,0.0,2153.71848461,0.225,100.0,2.0438,IGNITION,2.15371848,2.13060169,False,-27.40111669,-1.271,STOP LOSS,9773.02677482
26,SOLUSDT,2025-06-03 15:00:00,2025-06-03 16:30:00,163.26159,161.2503388,161.3310043,161.3310043,11.38996846,0.0,1859.54436025,0.225,100.0,2.2739,ADAPTIVE_BREAKOUT,1.85954436,1.83663627,False,-26.6042684,-1.4293,STOP LOSS,9746.42250642
27,SOLUSDT,2025-06-09 11:00:00,2025-06-09 14:00:00,155.427675,153.6280937,153.70494617,153.70494617,12.72948494,0.0,1978.51424833,0.225,100.0,2.2467,ADAPTIVE_BREAKOUT,1.97851425,1.95560651,False,-26.84186379,-1.3553,STOP LOSS,9719.58064263
28,SOLUSDT,2025-06-11 04:00:00,2025-06-11 05:30:00,166.753335,164.36698327,164.44920787,164.44920787,12.65500571,0.0,2110.26440599,0.3,100.0,2.277,ADAPTIVE_BREAKOUT,2.11026441,2.08006511,False,-34.38962428,-1.628,STOP LOSS,9685.19101835
29,SOLUSDT,2025-06-25 08:00:00,2025-06-25 08:45:00,147.083505,145.45606362,145.52882803,145.52882803,16.46206184,0.0,2421.29775459,0.2643,100.0,2.2392,ADAPTIVE_BREAKOUT,2.42129775,2.39450671,False,-31.6068451,-1.3041,STOP LOSS,9653.58417326
30,SOLUSDT,2025-06-28 16:00:00,2025-06-29 04:00:00,148.23408,149.395265,146.8680297,149.56710041,16.28097967,4.07024492,2413.39604331,0.2304,100.0,2.2405,ADAPTIVE_BREAKOUT,2.41339604,2.43838805,True,20.14022188,0.8337,EMERGENCY STOP EXIT,9673.72439514
31,LINKUSDT,2025-06-29 23:00:00,2025-06-30 02:30:00,13.78689,13.52905963,13.53582754,13.53582754,115.59343941,0.0,1593.67403386,0.3,99.0,2.1122,IGNITION,1.59367403,1.56387053,False,-32.96104418,-2.0662,STOP LOSS,9640.76335095
