route,symbol,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
ADAPTIVE_BREAKOUT,BTCUSDT,10,4,6,40.0,117.41762714,210.98383163,93.56620448999999,2.254914931945852,11.741762714,55.590951669999995,173.00857881,47.34463898143462,12.575,7.125,4,9,5,DEVELOPMENT_PASS
IGNITION,ETHUSDT,13,2,11,15.384615384615385,61.61377774000001,334.72961964,273.11584189999996,1.2255957666584556,4.739521364615386,64.31758564,125.93136338000002,104.38831702774276,9.038461538461538,3.5,2,13,5,DEVELOPMENT_PASS
PULLBACK,SOLUSDT,4,2,2,50.0,91.58617453000001,99.73852241,8.15234788,12.234331002322241,22.896543632500002,14.918807039999999,106.50498157000001,16.28936585304498,12.0,12.25,2,4,1,INSUFFICIENT_SAMPLE
PULLBACK,BTCUSDT,1,1,0,100.0,28.15957214,28.15957214,0.0,inf,28.15957214,7.982940490000001,36.14251263,28.34894099353315,1.5,1.5,1,1,0,INSUFFICIENT_SAMPLE
IGNITION,LINKUSDT,2,1,1,50.0,12.272178570000001,12.94645453,0.67427596,19.200528119080502,6.136089285000001,6.13728538,18.409463950000003,50.00974639501191,7.0,7.0,1,2,1,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,SOLUSDT,3,2,1,66.66666666666666,1.3545194099999982,25.41906779,24.06454838,1.0562869241762183,0.4515064699999994,12.698618960000001,14.05313837,937.4999624405543,7.75,6.5,2,3,1,INSUFFICIENT_SAMPLE
PULLBACK,DOGEUSDT,2,1,1,50.0,-12.726796010000001,3.86307545,16.58987146,0.2328574672392308,-6.3633980050000005,2.4999597099999997,-10.226836300000002,19.643276344145626,6.25,6.25,0,2,1,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,XRPUSDT,1,0,1,0.0,-21.75216183,0.0,21.75216183,0.0,-21.75216183,4.93685485,-16.81530698,22.69592736842929,1.5,1.5,0,1,1,INSUFFICIENT_SAMPLE
IGNITION,SOLUSDT,5,1,4,20.0,-23.78957971,29.58391163,53.37349134,0.5542809901931366,-4.757915942,19.89469213,-3.8948875800000025,83.62775791972996,8.65,6.0,1,5,3,INSUFFICIENT_SAMPLE
PULLBACK,LINKUSDT,3,1,2,33.33333333333333,-30.53700164,37.23041348,67.76741512000001,0.5493851789104509,-10.179000546666666,10.262675049999999,-20.27432659,33.6073435466469,8.083333333333334,1.25,1,2,1,INSUFFICIENT_SAMPLE
PULLBACK,XRPUSDT,2,0,2,0.0,-45.059299030000005,0.0,45.059299030000005,0.0,-22.529649515000003,9.51586752,-35.543431510000005,21.118543174993547,3.75,3.75,0,2,2,INSUFFICIENT_SAMPLE
PULLBACK,ETHUSDT,3,0,3,0.0,-57.45223727,0.0,57.45223727,0.0,-19.150745756666666,14.80264347,-42.6495938,25.765129738001587,2.0833333333333335,1.75,0,3,3,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,LINKUSDT,5,1,4,20.0,-84.88288356000001,9.91571645,94.79860001,0.10459770976527104,-16.976576712000004,19.766122360000004,-65.11676120000001,23.286346470579307,8.6,2.25,1,5,2,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,ETHUSDT,10,2,8,20.0,-32.50690469,98.1037144,130.61061909,0.75111591295957,-3.250690469,37.49889838,4.991993690000001,115.35671801915879,8.0,5.5,1,10,7,REJECT
IGNITION,BTCUSDT,18,3,15,16.666666666666664,-222.17706241000002,23.45751623,245.63457864,0.0954976142197762,-12.34317013388889,112.07893551999999,-110.09812689000003,50.44577253126712,6.972222222222222,2.5,1,16,8,REJECT
