route,rr_bucket,trades,winners,losers,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expectancy,total_fees,pre_fee_profit,fees_as_percent_of_absolute_net,average_hold_hours,median_hold_hours,partial_profit_trades,stop_loss_exits,longest_losing_streak,edge_label
ADAPTIVE_BREAKOUT,1.8-1.99,3,2,1,66.66666666666666,42.700212379999996,45.286902389999995,2.58669001,17.507665091264645,14.233404126666665,16.780346629999997,59.48055900999999,39.29804020801453,4.75,3.5,2,3,1,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,2.0-2.19,7,3,4,42.857142857142854,99.92498900999999,175.61264569,75.68765668,2.3202283356779434,14.274998429999998,37.69332308,137.61831209,37.721618439435446,15.107142857142858,7.75,3,7,3,INSUFFICIENT_SAMPLE
ADAPTIVE_BREAKOUT,2.2+,19,4,15,21.052631578947366,-162.99500492,123.52278219,286.51778711,0.431117325859344,-8.578684469473686,76.01777651,-86.97722841000001,46.63810191441786,8.078947368421053,6.5,3,18,8,REJECT
IGNITION,1.8-1.99,18,2,16,11.11111111111111,-265.13600052000004,8.924445290000001,274.06044581000003,0.03256378447325128,-14.729777806666668,118.14508335999999,-146.99091716000004,44.560181615581065,5.430555555555555,2.5,1,18,12,REJECT
IGNITION,2.0-2.19,19,5,14,26.31578947368421,108.15825188,391.79305674,283.63480486,1.3813292657556118,5.692539572631579,79.21941416000001,187.37766604,73.24398534833274,10.605263157894736,6.0,4,17,7,DEVELOPMENT_PASS
IGNITION,<1.8,1,0,1,0.0,-15.10293717,0.0,15.10293717,0.0,-15.10293717,5.064001149999999,-10.038936020000001,33.529909401059896,1.0,1.0,0,1,1,INSUFFICIENT_SAMPLE
PULLBACK,1.8-1.99,3,1,2,33.33333333333333,14.514871810000002,37.23041348,22.71554167,1.638984181881497,4.838290603333334,11.94462184,26.459493650000002,82.29229990009812,9.916666666666666,5.25,1,3,2,INSUFFICIENT_SAMPLE
PULLBACK,2.0-2.19,2,2,0,100.0,65.80912503,65.80912503,0.0,inf,32.904562515,11.852327590000002,77.66145262,18.01015829430486,11.375,11.375,2,2,0,INSUFFICIENT_SAMPLE
PULLBACK,2.2+,8,1,7,12.5,-93.62678811,62.08896952,155.71575762999998,0.3987327324157592,-11.70334851375,33.68598414,-59.940803970000005,35.97900218516852,4.375,2.0,1,7,6,REJECT
PULLBACK,<1.8,2,1,1,50.0,-12.726796010000001,3.86307545,16.58987146,0.2328574672392308,-6.3633980050000005,2.4999597099999997,-10.226836300000002,19.643276344145626,6.25,6.25,0,2,1,INSUFFICIENT_SAMPLE
