trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,total_fees,hold_hours,period,month,feature_time,close,EMA20,EMA50,EMA200,RSI14,ADX14,ATR14,VOLUME_RATIO,MOMENTUM_24H,MOMENTUM_72H,EMA50_SLOPE_12H,daily_close,daily_ema20,daily_ema50,daily_momentum_20d,daily_ema20_slope_3d,daily_macro_bull,daily_recovery,hourly_stack,ema20_extension_percent,ema200_distance_percent,momentum_confirmed,trend_quality,strict_macro_trend,winner
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838,5.012579860000001,6.5,DEVELOPMENT,2025-08,2025-08-07 08:00:00,169.99,167.58779096189247,166.45171343811634,169.00712057205632,65.06299188760607,20.908958188249798,1.4149687719093478,1.2034700715693665,3.494672754946726,4.269152916641117,0.6370972883463777,168.4,172.224896262671,170.4227457323423,-4.04011624593994,-1.0080948237322196,False,False,False,1.4334033668680422,0.5815609570867961,True,False,False,True
2,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,22.05102,21.24919289,21.25982281,21.25982281,37.94591549,0.0,836.74614133,0.3,100.0,2.115,IGNITION,0.83674614,0.80632008,False,-32.06912979,-3.8288,STOP LOSS,9975.49815401,1.6430662200000001,5.0,DEVELOPMENT,2025-08,2025-08-10 09:00:00,22.03,21.587203919679418,20.679129852022978,18.556214037892783,59.60505576086629,64.77061603495139,0.5036632515764721,1.4299930363680633,6.117533718689794,30.89720736779562,3.6220398444901436,21.61,17.872310789076998,17.17795565585847,11.910926980838955,4.54587857711799,True,True,True,2.0511970052634743,18.72033786101821,True,True,True,False
3,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.58380504,0.0,2493.8745385,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.49387454,2.46508745,False,-33.74604727,-1.3518,STOP LOSS,9941.75210674,4.958961990000001,3.0,DEVELOPMENT,2025-08,2025-08-10 22:00:00,183.49,181.69644049807872,180.20580101098585,174.69345213457365,58.728897958164666,18.169445950072678,1.9266893728111611,1.237906309900972,1.241447804016782,5.721364369670434,0.4676180002534336,180.15,173.66878128341006,171.24471607951952,-0.19390581717451116,0.8383718336151036,False,False,True,0.987118678277167,5.0354193348071306,True,False,False,False
4,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,70.45186028,17.61296507,1656.446526,0.3,95.0,2.1112,IGNITION,1.65644653,1.67238605,True,12.6106866,0.7605,STOP LOSS,9954.36279334,3.3288325800000003,3.25,DEVELOPMENT,2025-08,2025-08-13 09:00:00,23.5,23.379926620799274,22.674139896495547,20.51756222464338,54.934005532114355,38.175460204708116,0.45732483690208287,0.513333207946957,9.455053563111315,6.672719019518825,2.895489635362347,23.36,19.00127196871603,17.745647638963092,28.42221000549752,6.316817075098191,True,True,True,0.5135746623511888,14.536024030059727,True,False,True,True
5,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.21595736,2.30398934,1944.34061243,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.94434061,1.96616492,True,17.91380394,0.9204,STOP LOSS,9972.27659728,3.91050553,16.25,DEVELOPMENT,2025-09,2025-09-08 10:00:00,210.87,206.55937531810542,204.96959370342972,204.11258900386804,72.96209934852988,34.74388972074939,1.5580676645950997,1.7551243538699035,3.784821340683142,2.423741985622696,0.8439726905384859,207.1,199.82809411932556,190.03590202936238,12.43824311851891,0.7326603986633318,True,True,True,2.0868695382410674,3.310629211608261,True,True,True,True
6,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,58.85330464,0.0,1364.90171135,0.225,95.0,2.1027,IGNITION,1.36490171,1.36695631,False,-0.67726022,-0.0496,STOP LOSS,9971.59933706,2.7318580199999998,10.75,DEVELOPMENT,2025-09,2025-09-09 04:00:00,23.18,22.964471438777604,22.743080858632617,22.901294088953357,57.83723290595377,30.197339773718213,0.2371200609965304,0.515417522187418,2.566371681415913,3.482142857142856,0.8613940717364432,23.06,23.14561215279183,21.72759261255777,-3.393380812735658,-0.7783200191904815,False,False,False,0.9385304678010397,1.2169876076176815,True,False,False,False
7,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.03771599,0.0,2492.89983426,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49289983,2.50441907,False,6.52191744,0.2614,MARKET SEVERE SHOCK,9978.1212545,4.9973189,1.75,DEVELOPMENT,2025-09,2025-09-11 11:00:00,225.75,223.25867259295185,220.4949653410827,212.05269701213285,62.84402589865022,23.61071348692933,1.8039548247680195,1.1708860279551623,2.5716752237720852,4.892667967660991,0.9720539982799536,224.49,204.83326180374192,193.30338842415404,23.488640739314604,2.5047367370814033,True,True,True,1.1158927794891835,6.45938636049672,True,True,True,True
8,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,249.94491,250.19466745,247.55472337,250.31982737,9.98032052,0.0,2494.53031363,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.49453031,2.49702297,False,-2.49889387,-0.1001,STOP LOSS,9975.62236063,4.99155328,1.25,DEVELOPMENT,2025-09,2025-09-18 17:00:00,249.83,245.1347890612424,241.6455383767883,234.62780049501086,74.1858363255422,30.323598954150093,2.2752766340293507,1.5201273794589514,6.733028581193667,7.96922943947449,1.3006511441040258,244.89,222.13464433192073,204.43826217023718,14.317057230884123,2.778571208256375,True,True,True,1.9153588753102684,6.479283133932125,True,True,True,False
9,LINKUSDT,2025-09-19 05:00:00,2025-09-19 07:15:00,24.67233,24.35764448,24.3698294,24.3698294,74.1986964,0.0,1830.65472323,0.225,100.0,2.0696,IGNITION,1.83065472,1.80730547,False,-26.98721529,-1.4727,STOP LOSS,9948.63514534,3.6379601900000003,2.25,DEVELOPMENT,2025-09,2025-09-19 05:00:00,24.66,24.46700079223361,24.129800840163664,23.881076598938836,60.63417437061704,29.31287375701784,0.25085300877689987,1.7211933870278897,2.4086378737541603,5.610278372591004,1.2840379618360265,24.67,23.796605104290826,22.52821779975273,5.337318531169943,0.5357118686697415,True,True,True,0.7888143275315278,3.261676239067779,True,True,True,False
10,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.43834299,0.0,2024.68695725,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.02468696,2.00130138,False,-27.41156868,-1.3525,STOP LOSS,9921.22357667,4.02598834,3.5,DEVELOPMENT,2025-09,2025-09-29 21:00:00,214.42,209.476089397539,206.9328169806331,210.9894001170705,66.3660029972593,23.280834622675115,2.2574053196581594,0.9863048153008902,3.6746929697321296,7.231446289257848,0.8972273907815076,209.54,217.8201692070802,209.37455547812905,-2.3988075830266964,-1.8852904326398967,False,False,False,2.3601312286666505,1.6259584040837982,True,False,False,False
11,SOLUSDT,2025-10-01 13:00:00,2025-10-03 02:00:00,218.619255,230.61808518,216.03771298,230.73345191,11.34532223,2.83633056,2480.30589417,0.2952,100.0,2.2429,ADAPTIVE_BREAKOUT,2.48030589,2.59673069,True,111.34776224,4.4848,STOP LOSS,10032.57133891,5.07703658,37.0,DEVELOPMENT,2025-10,2025-10-01 13:00:00,218.5,212.07501645614371,209.88301145910387,210.69540236728542,68.3230936941797,20.476541992225993,2.462287018547829,1.4180740747770306,5.97022164023473,10.114398024492255,0.9051862284900736,208.06,216.52526322847154,209.48145624874581,-7.318811528353164,-0.9906649789404032,False,False,False,3.029580594272851,3.704208798590468,True,False,False,True
