trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,period,risk_per_unit,initial_risk_eur,realized_r,hold_hours,current_mfe_r,current_mae_r,forward_48h_mfe_r,forward_48h_mae_r,post_exit_additional_mfe_r,0_5r_target_time,0_5r_stop_time,0_5r_first_outcome,hit_0_5r_before_stop_48h,1r_target_time,1r_stop_time,1r_first_outcome,hit_1r_before_stop_48h,1_5r_target_time,1_5r_stop_time,1_5r_first_outcome,hit_1_5r_before_stop_48h,2r_target_time,2r_stop_time,2r_first_outcome,hit_2r_before_stop_48h,3r_target_time,3r_stop_time,3r_first_outcome,hit_3r_before_stop_48h,stop_before_0_5r_48h,hit_1r_then_revisit_entry,current_exit_before_2r,future_reached_2r_after_exit,path_classification
1,SOLUSDT,2025-08-07 08:00:00,2025-08-07 14:30:00,170.074995,170.24494244,168.57503123,170.33010749,14.69939776,3.67484944,2500.0,0.2205,100.0,2.2073,ADAPTIVE_BREAKOUT,2.5,2.51257986,True,7.5672838,0.3024,STOP LOSS,10007.5672838,DEVELOPMENT,1.4999637699999937,22.048564080819062,0.3432098241074613,6.5,2.276724990497619,0.6766796774031437,8.050197772443568,2.0500461821154614,5.930181606986437,2025-08-07 10:15:00,2025-08-07 17:00:00,TARGET_FIRST,True,2025-08-07 10:30:00,2025-08-07 17:00:00,TARGET_FIRST,True,2025-08-07 10:45:00,2025-08-07 17:00:00,TARGET_FIRST,True,2025-08-07 10:45:00,2025-08-07 17:00:00,TARGET_FIRST,True,2025-08-07 23:00:00,2025-08-07 17:00:00,STOP_FIRST,False,False,False,False,False,REACHED_2R
2,LINKUSDT,2025-08-10 09:00:00,2025-08-10 14:00:00,22.05102,21.24919289,21.25982281,21.25982281,37.94591549,0.0,836.74614133,0.3,100.0,2.115,IGNITION,0.83674614,0.80632008,False,-32.06912979,-3.8288,STOP LOSS,9975.49815401,DEVELOPMENT,0.7911971900000019,30.022701707665544,-1.0681626890964298,5.0,0.3146876697072179,1.0503323450883342,0.7823334155168057,1.5306171651089893,1.7957686502905787,2025-08-10 15:30:00,2025-08-10 14:00:00,STOP_FIRST,False,,2025-08-10 14:00:00,STOP_FIRST,False,,2025-08-10 14:00:00,STOP_FIRST,False,,2025-08-10 14:00:00,STOP_FIRST,False,,2025-08-10 14:00:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
3,SOLUSDT,2025-08-10 22:00:00,2025-08-11 01:00:00,183.59175,181.47252897,181.56331063,181.56331063,13.58380504,0.0,2493.8745385,0.2762,100.0,2.2295,ADAPTIVE_BREAKOUT,2.49387454,2.46508745,False,-33.74604727,-1.3518,STOP LOSS,9941.75210674,DEVELOPMENT,2.028439370000001,27.553924937540437,-1.2247274152954957,3.0,0.048436251757432235,1.0312114973394495,5.012843938244009,5.009639504285493,2.626389089460434,2025-08-11 02:15:00,2025-08-11 01:00:00,STOP_FIRST,False,2025-08-11 03:00:00,2025-08-11 01:00:00,STOP_FIRST,False,2025-08-11 05:15:00,2025-08-11 01:00:00,STOP_FIRST,False,2025-08-12 18:15:00,2025-08-11 01:00:00,STOP_FIRST,False,2025-08-12 19:45:00,2025-08-11 01:00:00,STOP_FIRST,False,True,True,True,True,ONE_R_BREAKEVEN_TRAP
4,LINKUSDT,2025-08-13 09:00:00,2025-08-13 12:15:00,23.51175,23.53524412,23.08840765,23.54701763,70.45186028,17.61296507,1656.446526,0.3,95.0,2.1112,IGNITION,1.65644653,1.67238605,True,12.6106866,0.7605,STOP LOSS,9954.36279334,DEVELOPMENT,0.42334234999999865,29.825256092806764,0.4228190551242722,3.25,2.027319024425514,0.4765646526977544,2.027319024425514,4.728442594982534,1.8300930204596815,2025-08-13 10:00:00,2025-08-14 12:45:00,TARGET_FIRST,True,2025-08-13 10:30:00,2025-08-14 12:45:00,TARGET_FIRST,True,2025-08-13 10:45:00,2025-08-14 12:45:00,TARGET_FIRST,True,2025-08-13 11:15:00,2025-08-14 12:45:00,TARGET_FIRST,True,,2025-08-14 12:45:00,STOP_FIRST,False,False,False,False,False,REACHED_2R
5,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.21595736,2.30398934,1944.34061243,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.94434061,1.96616492,True,17.91380394,0.9204,STOP LOSS,9972.27659728,DEVELOPMENT,2.430275600000016,22.397316302648566,0.7998192148530593,16.25,2.5242260589704184,0.22443339348014443,4.902557142078826,0.22443339348014443,2.9796247306272376,2025-09-08 10:15:00,,TARGET_FIRST,True,2025-09-08 10:30:00,,TARGET_FIRST,True,2025-09-08 11:00:00,,TARGET_FIRST,True,2025-09-08 11:00:00,,TARGET_FIRST,True,2025-09-09 06:30:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
6,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,58.85330464,0.0,1364.90171135,0.225,95.0,2.1027,IGNITION,1.36490171,1.36695631,False,-0.67726022,-0.0496,STOP LOSS,9971.59933706,DEVELOPMENT,0.38124660000000077,22.437622292764267,-0.030184134983785884,10.75,1.6483032242123536,0.42384640282693675,1.936830387470988,0.9484412451153728,1.8452610724921845,2025-09-09 06:15:00,,TARGET_FIRST,True,2025-09-09 06:15:00,,TARGET_FIRST,True,2025-09-09 06:45:00,,TARGET_FIRST,True,,,NEITHER,False,,,NEITHER,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
7,SOLUSDT,2025-09-11 11:00:00,2025-09-11 12:45:00,225.85287,226.896495,223.94604518,226.1916493,11.03771599,0.0,2492.89983426,0.2111,100.0,2.2166,ADAPTIVE_BREAKOUT,2.49289983,2.50441907,False,6.52191744,0.2614,MARKET SEVERE SHOCK,9978.1212545,DEVELOPMENT,1.906824819999997,21.046990805842842,0.30987410505208446,1.75,1.5455693512527386,1.6062671137246936,9.59035660129493,1.6062671137246936,6.798477166874745,2025-09-11 12:15:00,2025-09-11 12:45:00,TARGET_FIRST,True,2025-09-11 12:15:00,2025-09-11 12:45:00,TARGET_FIRST,True,2025-09-11 12:45:00,2025-09-11 12:45:00,AMBIGUOUS,False,2025-09-12 00:30:00,2025-09-11 12:45:00,STOP_FIRST,False,2025-09-12 00:45:00,2025-09-11 12:45:00,STOP_FIRST,False,False,True,True,True,ONE_R_BREAKEVEN_TRAP
8,SOLUSDT,2025-09-18 17:00:00,2025-09-18 18:15:00,249.94491,250.19466745,247.55472337,250.31982737,9.98032052,0.0,2494.53031363,0.2391,100.0,2.2365,ADAPTIVE_BREAKOUT,2.49453031,2.49702297,False,-2.49889387,-0.1001,STOP LOSS,9975.62236063,DEVELOPMENT,2.390186629999988,23.854828670018527,-0.10475421578444138,1.25,1.491552983877253,0.2949183930461478,1.491552983877253,6.202406880671098,0.3327491418525824,2025-09-18 17:15:00,2025-09-18 19:45:00,TARGET_FIRST,True,2025-09-18 17:15:00,2025-09-18 19:45:00,TARGET_FIRST,True,,2025-09-18 19:45:00,STOP_FIRST,False,,2025-09-18 19:45:00,STOP_FIRST,False,,2025-09-18 19:45:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
9,LINKUSDT,2025-09-19 05:00:00,2025-09-19 07:15:00,24.67233,24.35764448,24.3698294,24.3698294,74.1986964,0.0,1830.65472323,0.225,100.0,2.0696,IGNITION,1.83065472,1.80730547,False,-26.98721529,-1.4727,STOP LOSS,9948.63514534,DEVELOPMENT,0.30250059999999834,22.445150180217716,-1.2023628745324897,2.25,-0.0077024640612186205,1.3630716765520448,0.6203954636784248,5.23083260000148,1.660676111055651,2025-09-19 08:00:00,2025-09-19 07:15:00,STOP_FIRST,False,,2025-09-19 07:15:00,STOP_FIRST,False,,2025-09-19 07:15:00,STOP_FIRST,False,,2025-09-19 07:15:00,STOP_FIRST,False,,2025-09-19 07:15:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
10,SOLUSDT,2025-09-29 21:00:00,2025-09-30 00:30:00,214.517205,212.03948403,212.14555681,212.14555681,9.43834299,0.0,2024.68695725,0.225,100.0,2.2606,ADAPTIVE_BREAKOUT,2.02468696,2.00130138,False,-27.41156868,-1.3525,STOP LOSS,9921.22357667,DEVELOPMENT,2.371648190000002,22.38442906883271,-1.2245819893689807,3.5,0.09394099889664453,1.2384657270773263,2.7334555889590035,4.312277446175518,0.5272771801790634,2025-10-01 09:00:00,2025-09-30 00:30:00,STOP_FIRST,False,2025-10-01 09:00:00,2025-09-30 00:30:00,STOP_FIRST,False,2025-10-01 12:30:00,2025-09-30 00:30:00,STOP_FIRST,False,2025-10-01 12:45:00,2025-09-30 00:30:00,STOP_FIRST,False,,2025-09-30 00:30:00,STOP_FIRST,False,True,False,True,True,FAILED_BEFORE_0_5R
