period,route,symbol,path_classification,trades
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,FAILED_BEFORE_0_5R,4
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,ONE_R_BREAKEVEN_TRAP,10
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,REACHED_0_5R_NOT_1R,3
DEVELOPMENT,ADAPTIVE_BREAKOUT,SOLUSDT,REACHED_2R,7
DEVELOPMENT,IGNITION,LINKUSDT,FAILED_BEFORE_0_5R,6
DEVELOPMENT,IGNITION,LINKUSDT,ONE_R_BREAKEVEN_TRAP,3
DEVELOPMENT,IGNITION,LINKUSDT,REACHED_0_5R_NOT_1R,2
DEVELOPMENT,IGNITION,LINKUSDT,REACHED_2R,3
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,ONE_R_BREAKEVEN_TRAP,1
VALIDATION,ADAPTIVE_BREAKOUT,SOLUSDT,REACHED_2R,2
VALIDATION,IGNITION,LINKUSDT,FAILED_BEFORE_0_5R,1
VALIDATION,IGNITION,LINKUSDT,ONE_R_BREAKEVEN_TRAP,1
VALIDATION,IGNITION,LINKUSDT,REACHED_0_5R_NOT_1R,1
VALIDATION,IGNITION,LINKUSDT,REACHED_2R,2
