reason,count
breakout:breakout,30
pullback:reclaim,29
breakout:candle_quality,26
pullback:candle_quality,23
breakout:trend_stack,21
pullback:pullback_zone,18
pullback:setup_score,17
breakout:rsi,16
breakout:volume,16
pullback:trend_stability,13
pullback:trend_stack,12
breakout:trend_acceleration,11
pullback:volume,10
pullback:rsi,9
pullback:momentum,8
pullback:reward_risk,8
breakout:adx,7
pullback:ema50_slope,5
breakout:relative_strength,5
pullback:extension,4
pullback:asset_shock,3
pullback:adx,3
breakout:asset_shock,3
breakout:volatility,2
breakout:extension,2
pullback:stop_distance,1
