signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason
2025-08-07 08:00:00,2025-08-07 08:00:00,2025-08-07 08:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,1,1,False,1,100.0,169.99,169.99,170.074995,0.060068,2.4,2.20734,0.3,1.946747,15.4103,True,EXECUTED
2025-08-10 09:00:00,2025-08-10 09:00:00,2025-08-10 09:00:00,0.0,0.0,LINKUSDT,IGNITION,1,1,False,1,100.0,22.03,22.04,22.05102,0.041734,2.2,2.114985,0.3,7.588628,3.9533,True,EXECUTED
2025-08-10 22:00:00,2025-08-10 22:00:00,2025-08-10 22:00:00,0.0,0.0,LINKUSDT,IGNITION,2,1,False,2,65.0,21.98,21.99,22.000995,0.047803,2.2,2.038607,0.3,3.857199,7.7777,False,POST_EXIT_COOLDOWN_UNTIL_2025-08-11 02:00:00
2025-08-10 22:00:00,2025-08-10 22:00:00,2025-08-10 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,3,1,False,1,85.0,183.49,183.5,183.59175,0.052811,2.4,2.22945,0.3,2.463239,12.1791,True,EXECUTED
2025-08-13 09:00:00,2025-08-13 09:00:00,2025-08-13 09:00:00,0.0,0.0,LINKUSDT,IGNITION,3,1,False,1,100.0,23.5,23.5,23.51175,0.025693,2.2,2.111183,0.3,3.801304,7.892,True,EXECUTED
2025-09-08 10:00:00,2025-09-08 10:00:00,2025-09-08 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,4,1,False,1,100.0,210.87,210.87,210.975435,0.06767,2.4,2.252495,0.3,2.594701,11.562,True,EXECUTED
2025-09-09 04:00:00,2025-09-09 04:00:00,2025-09-09 04:00:00,0.0,0.0,LINKUSDT,IGNITION,4,1,False,1,100.0,23.18,23.18,23.19159,0.048878,2.2,2.102719,0.3,3.45666,8.6789,True,EXECUTED
2025-09-09 07:00:00,2025-09-09 07:00:00,2025-09-09 07:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,5,1,False,1,100.0,218.43,218.43,218.539215,0.048021,2.4,2.267088,0.3,2.898242,10.3511,False,POST_EXIT_COOLDOWN_UNTIL_2025-09-09 14:15:00
2025-09-11 01:00:00,2025-09-11 01:00:00,2025-09-11 01:00:00,0.0,0.0,LINKUSDT,IGNITION,5,1,False,1,100.0,23.66,23.67,23.681835,0.097678,2.2,1.992745,0.3,2.836842,10.5751,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2025-09-11 11:00:00,2025-09-11 11:00:00,2025-09-11 11:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,6,1,False,1,100.0,225.75,225.74,225.85287,0.057025,2.4,2.216576,0.3,1.871405,16.0307,True,EXECUTED
