symbol,route,quality_episode_id,first_true_time,last_true_time,valid_candle_count,emission_count,stale_retrigger_count,episode_span_hours,persistent_beyond_route_cooldown
SOLUSDT,ADAPTIVE_BREAKOUT,1,2025-08-07 08:00:00,2025-08-07 08:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,2,2025-08-07 11:00:00,2025-08-07 11:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,1,2025-08-10 09:00:00,2025-08-10 09:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,3,2025-08-10 22:00:00,2025-08-10 22:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,2,2025-08-10 22:00:00,2025-08-10 23:00:00,2,1,0,1.0,False
LINKUSDT,IGNITION,3,2025-08-13 09:00:00,2025-08-13 09:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,4,2025-09-08 10:00:00,2025-09-08 10:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,4,2025-09-09 04:00:00,2025-09-09 04:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,5,2025-09-09 07:00:00,2025-09-09 07:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,5,2025-09-11 01:00:00,2025-09-11 01:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,6,2025-09-11 11:00:00,2025-09-11 11:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,7,2025-09-11 13:00:00,2025-09-11 13:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,8,2025-09-12 01:00:00,2025-09-12 01:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,9,2025-09-12 04:00:00,2025-09-12 04:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,10,2025-09-14 01:00:00,2025-09-14 03:00:00,3,1,0,2.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,11,2025-09-18 17:00:00,2025-09-18 17:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,6,2025-09-19 05:00:00,2025-09-19 05:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,12,2025-09-29 21:00:00,2025-09-29 21:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,13,2025-10-01 13:00:00,2025-10-01 13:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,14,2025-10-02 00:00:00,2025-10-02 00:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,15,2025-10-02 02:00:00,2025-10-02 03:00:00,2,1,0,1.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,16,2025-10-02 13:00:00,2025-10-02 13:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,17,2025-10-02 18:00:00,2025-10-02 19:00:00,2,1,0,1.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,18,2025-10-03 00:00:00,2025-10-03 00:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,19,2025-10-03 16:00:00,2025-10-03 16:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,20,2025-10-05 05:00:00,2025-10-05 05:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,21,2025-10-05 08:00:00,2025-10-05 08:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,22,2025-10-26 10:00:00,2025-10-26 10:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,23,2025-10-26 12:00:00,2025-10-26 12:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,24,2025-10-26 14:00:00,2025-10-26 14:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,25,2025-10-27 01:00:00,2025-10-27 02:00:00,2,1,0,1.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,26,2025-10-28 09:00:00,2025-10-28 09:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,7,2025-10-28 13:00:00,2025-10-28 13:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,27,2025-12-03 22:00:00,2025-12-03 22:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,28,2025-12-08 10:00:00,2025-12-08 10:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,29,2025-12-12 06:00:00,2025-12-12 06:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,8,2025-12-12 10:00:00,2025-12-12 10:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,30,2026-01-02 10:00:00,2026-01-02 10:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,9,2026-01-02 15:00:00,2026-01-02 15:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,31,2026-01-03 22:00:00,2026-01-03 23:00:00,2,1,0,1.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,32,2026-01-04 01:00:00,2026-01-04 01:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,10,2026-01-04 21:00:00,2026-01-04 21:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,11,2026-01-05 01:00:00,2026-01-05 01:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,12,2026-01-05 08:00:00,2026-01-05 08:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,13,2026-01-05 15:00:00,2026-01-05 15:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,33,2026-01-05 20:00:00,2026-01-05 20:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,34,2026-01-06 06:00:00,2026-01-06 06:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,35,2026-01-06 15:00:00,2026-01-06 15:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,14,2026-01-06 15:00:00,2026-01-06 15:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,15,2026-01-06 22:00:00,2026-01-06 22:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,36,2026-01-12 03:00:00,2026-01-12 03:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,37,2026-01-12 16:00:00,2026-01-12 16:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,16,2026-01-15 13:00:00,2026-01-15 13:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,17,2026-01-18 09:00:00,2026-01-18 09:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,18,2026-01-18 19:00:00,2026-01-18 19:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,19,2026-01-18 22:00:00,2026-01-18 22:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,20,2026-02-26 10:00:00,2026-02-26 10:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,21,2026-02-26 13:00:00,2026-02-26 13:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,22,2026-03-05 15:00:00,2026-03-05 15:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,38,2026-03-10 16:00:00,2026-03-10 16:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,39,2026-03-13 13:00:00,2026-03-13 14:00:00,2,1,0,1.0,False
LINKUSDT,IGNITION,23,2026-03-15 00:00:00,2026-03-15 00:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,24,2026-03-15 20:00:00,2026-03-15 20:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,40,2026-03-15 22:00:00,2026-03-15 22:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,41,2026-03-16 21:00:00,2026-03-16 21:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,25,2026-03-17 15:00:00,2026-03-17 15:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,42,2026-03-17 19:00:00,2026-03-17 19:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,43,2026-03-24 08:00:00,2026-03-24 08:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,44,2026-03-24 10:00:00,2026-03-24 10:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,26,2026-03-25 20:00:00,2026-03-25 20:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,45,2026-04-09 18:00:00,2026-04-09 18:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,27,2026-04-10 05:00:00,2026-04-10 05:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,28,2026-04-10 12:00:00,2026-04-10 12:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,46,2026-04-10 13:00:00,2026-04-10 13:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,47,2026-04-10 15:00:00,2026-04-10 15:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,48,2026-04-11 20:00:00,2026-04-11 20:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,29,2026-04-15 12:00:00,2026-04-15 12:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,49,2026-04-17 14:00:00,2026-04-17 14:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,30,2026-04-21 16:00:00,2026-04-21 16:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,50,2026-04-22 03:00:00,2026-04-22 03:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,51,2026-04-22 06:00:00,2026-04-22 06:00:00,1,0,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,52,2026-04-22 14:00:00,2026-04-22 14:00:00,1,0,0,0.0,False
LINKUSDT,IGNITION,31,2026-04-24 00:00:00,2026-04-24 00:00:00,1,1,0,0.0,False
SOLUSDT,ADAPTIVE_BREAKOUT,53,2026-04-24 21:00:00,2026-04-24 21:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,32,2026-04-25 10:00:00,2026-04-25 10:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,33,2026-04-26 15:00:00,2026-04-26 15:00:00,1,1,0,0.0,False
LINKUSDT,IGNITION,34,2026-04-26 19:00:00,2026-04-26 19:00:00,1,0,0,0.0,False
