symbol,feature,false_n,runner_n,false_median,runner_median,median_difference,cliffs_delta,abs_cliffs_delta,direction,windows_tested,same_direction_windows,direction_consistency_pct
LINKUSDT,setup_score,38,22,97.0,100.0,3.0,0.40669856459330145,0.40669856459330145,RUNNER_HIGHER,5,4,80.0
LINKUSDT,adx14,38,22,26.145007680757388,19.174096578105285,-6.970911102652103,-0.3827751196172249,0.3827751196172249,RUNNER_LOWER,5,5,100.0
LINKUSDT,volume_ratio,38,22,0.7451004234801033,1.0413683016524238,0.2962678781723205,0.35406698564593303,0.35406698564593303,RUNNER_HIGHER,5,3,60.0
LINKUSDT,upper_wick_atr,38,22,0.1325299412163278,0.2134702641281998,0.080940322911872,0.3181818181818182,0.3181818181818182,RUNNER_HIGHER,5,5,100.0
LINKUSDT,ema50_slope_12h,38,22,1.2438556832982006,0.5415217184006393,-0.7023339648975613,-0.3062200956937799,0.3062200956937799,RUNNER_LOWER,5,5,100.0
LINKUSDT,close_location,38,22,0.8867302052785873,0.8145427363645765,-0.07218746891401073,-0.25478468899521534,0.25478468899521534,RUNNER_LOWER,5,4,80.0
LINKUSDT,momentum_72h,38,22,6.03422535362137,4.178810758501861,-1.855414595119509,-0.215311004784689,0.215311004784689,RUNNER_LOWER,5,4,80.0
LINKUSDT,ema200_distance_atr,38,22,3.600983104041992,3.2794462987352877,-0.3215368053067045,-0.20574162679425836,0.20574162679425836,RUNNER_LOWER,5,4,80.0
LINKUSDT,candle_range_atr,38,22,1.0354158571873435,1.1536729032392845,0.11825704605194098,0.20334928229665072,0.20334928229665072,RUNNER_HIGHER,5,4,80.0
LINKUSDT,lower_wick_atr,38,22,0.26408319646598777,0.3378922800619177,0.07380908359592991,0.18660287081339713,0.18660287081339713,RUNNER_HIGHER,5,4,80.0
LINKUSDT,btc_score,38,22,90.125,82.05,-8.075000000000003,-0.18181818181818182,0.18181818181818182,RUNNER_LOWER,5,2,40.0
LINKUSDT,ema50_distance_atr,38,22,1.6922452080428931,1.5332632869610672,-0.15898192108182596,-0.16507177033492823,0.16507177033492823,RUNNER_LOWER,5,4,80.0
LINKUSDT,breadth_score,38,22,88.88888888888889,86.11111111111111,-2.7777777777777715,-0.16507177033492823,0.16507177033492823,RUNNER_LOWER,5,3,60.0
