window,cohort,feature,signals,spearman_mfe
2021,CURRENT_12H,adx_rank,39,-0.15526315789473685
2021,CURRENT_12H,slope_rank,39,-0.23259109311740891
2021,CURRENT_12H,hotness_rank,39,-0.26828651833756617
2021,CURRENT_FRESH,adx_rank,9,0.45
2021,CURRENT_FRESH,slope_rank,9,-0.43333333333333335
2021,CURRENT_FRESH,hotness_rank,9,0.21666666666666667
2021,CURRENT_STALE,adx_rank,30,-0.21156840934371524
2021,CURRENT_STALE,slope_rank,30,-0.15951056729699667
2021,CURRENT_STALE,hotness_rank,30,-0.27105821027318977
2021,FRESH_POLICY_12H,adx_rank,12,-0.027972027972027972
2021,FRESH_POLICY_12H,slope_rank,12,-0.5314685314685315
2021,FRESH_POLICY_12H,hotness_rank,12,-0.21015794050150385
2022,CURRENT_12H,adx_rank,35,-0.19047619047619047
2022,CURRENT_12H,slope_rank,35,-0.18907563025210083
2022,CURRENT_12H,hotness_rank,35,-0.17626455249233655
2022,CURRENT_FRESH,adx_rank,6,-0.6571428571428571
2022,CURRENT_FRESH,slope_rank,6,-0.6571428571428571
2022,CURRENT_FRESH,hotness_rank,6,-0.6571428571428571
2022,CURRENT_STALE,adx_rank,29,-0.07832512315270936
2022,CURRENT_STALE,slope_rank,29,-0.06502463054187192
2022,CURRENT_STALE,hotness_rank,29,-0.04831157347471384
2022,FRESH_POLICY_12H,adx_rank,10,-0.6363636363636364
2022,FRESH_POLICY_12H,slope_rank,10,-0.4909090909090909
2022,FRESH_POLICY_12H,hotness_rank,10,-0.47878787878787876
2023,CURRENT_12H,adx_rank,80,0.07142522269104548
2023,CURRENT_12H,slope_rank,80,-0.1518987341772152
2023,CURRENT_12H,hotness_rank,80,-0.05036747054334532
2023,CURRENT_FRESH,adx_rank,23,0.35375494071146246
2023,CURRENT_FRESH,slope_rank,23,0.17984189723320157
2023,CURRENT_FRESH,hotness_rank,23,0.18478260869565216
2023,CURRENT_STALE,adx_rank,57,0.004342753435312419
2023,CURRENT_STALE,slope_rank,57,-0.22070261861550428
2023,CURRENT_STALE,hotness_rank,57,-0.1230714388666125
2023,FRESH_POLICY_12H,adx_rank,26,0.14871794871794872
2023,FRESH_POLICY_12H,slope_rank,26,0.07897435897435898
2023,FRESH_POLICY_12H,hotness_rank,26,0.10632478632478633
2024,CURRENT_12H,adx_rank,66,-0.3652589611350007
2024,CURRENT_12H,slope_rank,66,-0.29252865190517036
2024,CURRENT_12H,hotness_rank,66,-0.36540529352736617
2024,CURRENT_FRESH,adx_rank,18,-0.11867905056759546
2024,CURRENT_FRESH,slope_rank,18,0.0629514963880289
2024,CURRENT_FRESH,hotness_rank,18,0.07231408817389282
2024,CURRENT_STALE,adx_rank,48,-0.30018456370588376
2024,CURRENT_STALE,slope_rank,48,-0.17164260224918707
2024,CURRENT_STALE,hotness_rank,48,-0.2983494425234876
2024,FRESH_POLICY_12H,adx_rank,20,-0.21804511278195488
2024,FRESH_POLICY_12H,slope_rank,20,-0.07819548872180451
2024,FRESH_POLICY_12H,hotness_rank,20,-0.07148233776770777
2025h1,CURRENT_12H,adx_rank,33,-0.18616310160427807
2025h1,CURRENT_12H,slope_rank,33,-0.4017379679144385
2025h1,CURRENT_12H,hotness_rank,33,-0.3066377245793155
2025h1,CURRENT_FRESH,adx_rank,10,-0.34545454545454546
2025h1,CURRENT_FRESH,slope_rank,10,-0.38181818181818183
2025h1,CURRENT_FRESH,hotness_rank,10,-0.3586642707712381
2025h1,CURRENT_STALE,adx_rank,23,-0.17490118577075098
2025h1,CURRENT_STALE,slope_rank,23,-0.4772727272727273
2025h1,CURRENT_STALE,hotness_rank,23,-0.29977762227105553
2025h1,FRESH_POLICY_12H,adx_rank,12,-0.4825174825174825
2025h1,FRESH_POLICY_12H,slope_rank,12,-0.5244755244755245
2025h1,FRESH_POLICY_12H,hotness_rank,12,-0.5744317040374439
ALL,CURRENT_12H,adx_rank,253,-0.1602740322405086
ALL,CURRENT_12H,slope_rank,253,-0.2434373077377333
ALL,CURRENT_12H,hotness_rank,253,-0.2226066104608822
ALL,CURRENT_FRESH,adx_rank,66,0.0071602283793074815
ALL,CURRENT_FRESH,slope_rank,66,-0.09216445566951176
ALL,CURRENT_FRESH,hotness_rank,66,-0.05467355573439218
ALL,CURRENT_STALE,adx_rank,187,-0.15882311379779893
ALL,CURRENT_STALE,slope_rank,187,-0.21412634493467367
ALL,CURRENT_STALE,hotness_rank,187,-0.20889060788341093
ALL,FRESH_POLICY_12H,adx_rank,80,-0.14537548206580037
ALL,FRESH_POLICY_12H,slope_rank,80,-0.17537916970660117
ALL,FRESH_POLICY_12H,hotness_rank,80,-0.16346193299053918
