window,decision_time,signal_score,relative_strength,market_state,entry_price,stop_price,risk_per_unit,reward_risk,current_near_high,previous_near_high,fresh_zone,actual_cross,mfe_r,mae_r,mfe_class,reached_0_5r,reached_1r,reached_2r,stopped_before_horizon,stop_time,bars_before_stop_or_horizon,current_policy,current_12h_selected,fresh_12h_selected,adx14,ema50_slope_12h,adx_rank,slope_rank,hotness_rank,adx_regime,slope_regime,hotness_regime,current_fresh,current_stale,causal_history_count,causal_adx_rank,causal_slope_rank,causal_hotness_rank,v3jc_stale_hot_reject,v3jc_gate_keep,v3jc_12h_selected,baseline_stale_hot_removed,volume_ratio,momentum_24h,momentum_72h,ema20_distance_atr,ema50_distance_atr,ema200_distance_atr,outcome_class
2021,2021-01-06 03:00:00,95.0,100.0,STRONG_BULL,14.4399,14.063076319088768,0.3768236809112331,2.199999999999999,False,False,False,False,7.841333094710817,0.7117387085425214,RUNNER_>=2R,True,True,True,False,,144,True,True,False,18.30283159175761,2.7003834466191146,0.2452830188679245,0.9245283018867924,0.5849056603773585,LOW,HIGH,MID,False,True,0,1.0,1.0,1.0,True,False,False,True,0.4892311515327491,6.617885938745971,20.203281472417146,0.38706181693814323,1.3890394101652845,4.176736972017483,RUNNER_>=2R
2021,2021-02-02 13:00:00,95.0,66.66666666666666,STRONG_BULL,23.1242,22.81922367567937,0.3049763243206271,2.2,False,False,False,False,0.6987427646218362,0.8335073241054353,MIDDLE_0.5-2R,True,False,False,True,2021-02-02 15:45:00,10,True,True,False,33.415610522190654,1.0950684739441383,0.8867924528301887,0.3962264150943396,0.6415094339622642,HIGH,MID,MID,False,True,1,1.0,0.5,0.75,True,False,False,True,0.6810735505266746,4.301191668245319,0.5657973132238148,0.3825105023754072,0.9211639155076139,1.342547960088925,MIDDLE_0.5-2R
2021,2021-02-05 21:00:00,95.0,83.33333333333334,STRONG_BULL,26.345,25.481527698227,0.863472301773001,2.1999999999999984,False,False,False,False,0.5269422065603411,0.6572301147758062,MIDDLE_0.5-2R,True,False,False,True,2021-02-06 01:45:00,18,True,True,False,18.382331319071927,2.0570085012881822,0.2641509433962264,0.7169811320754716,0.490566037735849,LOW,HIGH,MID,False,True,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,True,True,False,0.6974164032497913,7.7333267904097,12.642754221163743,0.720002770471652,1.6812370620666908,3.8852164408792476,MIDDLE_0.5-2R
2021,2021-02-09 17:00:00,100.0,66.66666666666666,STRONG_BULL,25.7752,25.14810699093772,0.6270930090622855,2.199999999999997,False,False,False,False,4.570294930070472,0.0017541257582282,RUNNER_>=2R,True,True,True,True,2021-02-10 12:45:00,78,True,True,False,28.397397221950943,0.8339300891981871,0.7169811320754716,0.2452830188679245,0.4811320754716981,HIGH,LOW,MID,False,True,3,0.75,0.25,0.5,False,True,True,False,1.9436104706768356,1.7495657666193098,1.254723874323349,0.7452340611668441,1.226852827710749,2.5891895790638726,RUNNER_>=2R
2021,2021-02-18 10:00:00,95.0,66.66666666666666,STRONG_BULL,32.6236,32.120903994492046,0.502696005507957,2.199999999999997,False,False,False,False,0.4143657353901473,0.3781609519811313,FALSE_<0.5R,False,False,False,True,2021-02-18 11:45:00,6,True,True,False,23.560997487727047,1.070165468393136,0.5471698113207547,0.3584905660377358,0.4528301886792453,MID,MID,MID,False,True,4,0.6,0.4,0.5,False,True,True,False,0.6820846253086124,3.41104683413902,2.39480737964759,0.2612781082055796,0.7096181214686909,3.4875669997196113,FALSE_<0.5R
2021,2021-02-20 03:00:00,100.0,66.66666666666666,STRONG_BULL,34.636,33.662025883680975,0.9739741163190274,2.2,False,False,False,False,2.356017435732722,0.5898514040303527,RUNNER_>=2R,True,True,True,True,2021-02-20 22:45:00,78,True,True,False,17.188728799167528,2.1955577726606723,0.2075471698113207,0.7735849056603774,0.490566037735849,LOW,HIGH,MID,False,True,5,0.1666666666666666,0.8333333333333334,0.5,False,True,True,False,0.8223164804282079,8.025163038901661,11.195294842818981,0.8575749120545761,1.952480230276491,4.690354212512698,RUNNER_>=2R
2021,2021-03-03 22:00:00,100.0,100.0,STRONG_BULL,30.3992,29.826034712638105,0.5731652873618955,2.199999999999999,False,False,False,False,0.2726962072657944,0.6964832113915969,FALSE_<0.5R,False,False,False,True,2021-03-04 00:00:00,7,True,True,False,33.62162609305018,3.064798501871113,0.9056603773584906,0.981132075471698,0.9433962264150944,HIGH,HIGH,HIGH,False,True,6,1.0,1.0,1.0,True,False,False,True,1.0215595714123484,9.184292851473131,22.630823100382425,0.2378934553966369,1.852161894241395,3.745702541445494,FALSE_<0.5R
2021,2021-03-13 23:00:00,95.0,66.66666666666666,STRONG_BULL,29.8837,29.46372781462507,0.419972185374931,2.1999999999999966,False,False,False,False,0.7531451153547724,0.4897943415380262,MIDDLE_0.5-2R,True,False,False,True,2021-03-14 01:15:00,8,True,True,False,27.040040118785846,1.5609472178209405,0.6415094339622641,0.5849056603773585,0.6132075471698113,MID,MID,MID,False,True,7,0.625,0.5,0.5625,False,True,True,False,0.5635381851498497,6.309854144432592,-0.7927628848866997,0.6490545281901725,1.199538005055287,1.3997475874021845,MIDDLE_0.5-2R
2021,2021-03-19 09:00:00,98.0,83.33333333333334,STRONG_BULL,30.1063,29.458231077414407,0.648068922585594,2.2,True,False,True,True,2.046387280397389,0.8273811338780591,RUNNER_>=2R,True,True,True,False,,144,True,True,True,12.576920233338264,0.3793352929644555,0.0754716981132075,0.1886792452830188,0.1320754716981132,LOW,LOW,LOW,True,False,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,False,True,True,False,0.9687058339076174,1.3141157229487277,7.916394841170282,0.9221119348746379,1.473975014828306,2.5918149476367476,RUNNER_>=2R
2021,2021-03-19 19:00:00,100.0,100.0,STRONG_BULL,30.3359,29.80455627823965,0.5313437217603436,2.199999999999999,False,False,False,False,0.0703875824035246,0.9669823486344744,FALSE_<0.5R,False,False,False,True,2021-03-20 00:00:00,19,True,False,False,14.1987703828726,0.8804221304794968,0.0943396226415094,0.2641509433962264,0.1792452830188679,LOW,LOW,LOW,False,False,9,0.2,0.3,0.25,False,True,False,False,0.9246296345026953,2.636983404665627,11.18486156823364,0.8132607525823831,1.5779422315810065,3.06805545168982,FALSE_<0.5R
2021,2021-03-30 04:00:00,95.0,66.66666666666666,STRONG_BULL,27.9786,27.709576862869827,0.2690231371301728,2.200000000000005,False,False,False,False,0.0,0.0,FALSE_<0.5R,False,False,False,True,2021-03-30 04:15:00,0,True,True,False,27.904872053619656,1.402585284283786,0.6792452830188679,0.5283018867924528,0.6037735849056604,HIGH,MID,MID,False,True,10,0.7272727272727273,0.5454545454545454,0.6363636363636364,False,True,True,False,0.3233469935462725,4.261598658468424,3.801291088521186,0.4515681838834355,1.7542939336693377,2.0437583575367597,FALSE_<0.5R
2021,2021-03-31 19:00:00,100.0,66.66666666666666,STRONG_BULL,28.2682,27.51938991036685,0.7488100896331424,2.200000000000002,True,False,True,True,3.815119533711953,0.5184225017456541,RUNNER_>=2R,True,True,True,False,,144,True,True,True,31.73366938785675,-0.5527819063681494,0.8490566037735849,0.0188679245283018,0.4339622641509434,HIGH,LOW,MID,True,False,11,0.8333333333333334,0.0833333333333333,0.4583333333333333,False,True,True,False,2.632676071148729,0.5270270270270272,6.908862616956735,1.8777234184213345,1.6976688473036161,2.0113142298936992,RUNNER_>=2R
2021,2021-04-01 19:00:00,100.0,83.33333333333334,STRONG_BULL,30.269,29.54097630918053,0.7280236908194695,2.199999999999999,False,False,False,False,0.5887171055073321,0.5343232712140696,MIDDLE_0.5-2R,True,False,False,True,2021-04-02 00:30:00,21,True,True,False,34.803128661647975,2.773796056253919,0.9245283018867924,0.9433962264150944,0.9339622641509434,HIGH,HIGH,HIGH,False,True,12,1.0,0.9230769230769232,0.9615384615384616,True,False,False,True,0.9621996344798901,7.077917943130441,7.60704179287004,0.7030642802735104,2.187663522487939,4.046794108214535,MIDDLE_0.5-2R
2021,2021-04-03 10:00:00,100.0,83.33333333333334,STRONG_BULL,32.6424,31.7124845828408,0.929915417159208,2.200000000000001,False,False,False,False,0.0848464263997561,0.7945883962836765,FALSE_<0.5R,False,False,False,True,2021-04-03 15:00:00,19,True,True,False,26.94052150681629,3.0035504360738097,0.6226415094339622,0.9622641509433962,0.7924528301886793,MID,HIGH,HIGH,False,True,13,0.5,0.9285714285714286,0.7142857142857143,True,False,False,True,0.9143922760145589,7.278565254685709,21.387824922836664,1.1841304881445387,3.0175786309773946,6.735127408646072,FALSE_<0.5R
2021,2021-04-11 15:00:00,95.0,66.66666666666666,BULL,32.5813,32.127970741968646,0.4533292580313528,2.199999999999993,False,False,False,False,4.099448617259718,0.7744922565216666,RUNNER_>=2R,True,True,True,True,2021-04-12 15:15:00,96,True,True,False,16.603233783458723,0.4095142418679032,0.1886792452830188,0.2075471698113207,0.1981132075471698,LOW,LOW,LOW,False,True,14,0.2,0.2,0.2,False,True,True,False,0.6835723396840431,1.5601231889478928,0.9387111464977949,0.5852816568123672,0.7862730950744807,2.024369663154839,RUNNER_>=2R
2021,2021-04-12 07:00:00,95.0,66.66666666666666,STRONG_BULL,33.8211,33.05954261815989,0.7615573818401131,2.199999999999996,False,False,False,False,0.073664836475551,0.8286965828827082,FALSE_<0.5R,False,False,False,True,2021-04-12 09:45:00,10,True,True,False,32.297794788992924,1.395291484192307,0.8679245283018868,0.490566037735849,0.679245283018868,HIGH,MID,HIGH,False,True,15,0.8125,0.5,0.65625,False,True,True,False,0.7344689965426773,5.260684452301212,4.338772223713305,0.877335459961112,1.8207505502203611,3.7239239762867355,FALSE_<0.5R
2021,2021-04-27 15:00:00,100.0,66.66666666666666,BULL,36.341,35.485049610384195,0.8559503896158063,2.200000000000004,False,False,False,False,1.7138843767084009,0.7126581252843383,MIDDLE_0.5-2R,True,True,False,True,2021-04-28 06:15:00,60,True,True,False,21.9655004142786,2.414329940023152,0.4716981132075472,0.8679245283018868,0.6698113207547169,MID,HIGH,HIGH,False,True,16,0.4117647058823529,0.7647058823529411,0.588235294117647,False,True,True,False,1.7963429934611834,5.842434833260524,14.084710432467729,0.9690196289229634,2.1775413913658985,1.7157847425211072,MIDDLE_0.5-2R
2021,2021-04-28 00:00:00,95.0,83.33333333333334,BULL,36.788,36.08010466866951,0.7078953313304908,2.199999999999998,False,False,False,False,1.440890983251593,0.9210401187059089,MIDDLE_0.5-2R,True,True,False,True,2021-04-28 05:30:00,21,True,False,False,24.72600161928612,2.3774747303404897,0.6037735849056604,0.8113207547169812,0.7075471698113207,MID,HIGH,HIGH,False,False,17,0.5,0.7222222222222222,0.6111111111111112,False,True,False,False,0.6400533004225165,4.719612866495848,13.244370565329122,0.669317125919745,2.013773472400165,2.1972394537682507,MIDDLE_0.5-2R
2021,2021-04-28 05:00:00,95.0,83.33333333333334,BULL,36.539,35.87934334419695,0.6596566558030545,2.199999999999996,False,False,False,False,0.2940923862335979,0.7306831451783365,FALSE_<0.5R,False,False,False,True,2021-04-28 05:45:00,2,True,True,False,24.556932253789647,2.1430932821967508,0.5849056603773585,0.7547169811320755,0.6698113207547169,MID,HIGH,HIGH,False,True,18,0.4736842105263157,0.631578947368421,0.5526315789473684,False,True,True,False,0.5582677717206211,3.9220705346985296,15.093614554984391,0.046727587290313455,1.275410871276009,1.7212405401012718,FALSE_<0.5R
2021,2021-04-29 10:00:00,98.0,66.66666666666666,BULL,36.348,35.61482441101746,0.7331755889825402,2.199999999999998,True,False,True,True,1.5030505878261675,0.3382545787485341,MIDDLE_0.5-2R,True,True,False,True,2021-04-29 17:00:00,27,True,True,True,14.515776276609266,0.0468432114611339,0.1132075471698113,0.0754716981132075,0.0943396226415094,LOW,LOW,LOW,True,False,19,0.15,0.1,0.125,False,True,True,False,1.3817091707185822,2.989261326608683,4.0208339295424,0.7023398709756405,0.8789522337377162,1.4251957235297532,MIDDLE_0.5-2R
2021,2021-05-07 15:00:00,95.0,100.0,BULL,48.189,46.85256031134707,1.3364396886529306,2.2,False,False,False,False,2.8284104640816725,0.6943822514994136,RUNNER_>=2R,True,True,True,True,2021-05-08 16:00:00,99,True,True,False,8.12668085665647,0.2239297649188953,0.0188679245283018,0.1320754716981132,0.0754716981132075,LOW,LOW,LOW,False,True,20,0.0476190476190476,0.1428571428571428,0.0952380952380952,False,True,True,False,0.709851321927696,0.856006697362921,11.247316296142396,0.6674502812908728,0.9198913368904371,4.393706055044755,RUNNER_>=2R
2021,2021-05-09 09:00:00,100.0,66.66666666666666,BULL,48.29,47.44711789104309,0.842882108956907,2.1999999999999966,False,False,False,False,5.587970073096905,0.9420059953373512,RUNNER_>=2R,True,True,True,True,2021-05-10 19:45:00,138,True,True,False,16.347531299199083,-0.029001688194219,0.1698113207547169,0.0566037735849056,0.1132075471698113,LOW,LOW,LOW,False,True,21,0.2272727272727272,0.0909090909090909,0.1590909090909091,False,True,True,False,0.9971710870353301,-0.12202941115637689,2.461277318056432,0.3412044631518231,0.3114882380695784,3.5502731752004943,RUNNER_>=2R
2021,2021-05-09 10:00:00,98.0,66.66666666666666,BULL,49.0,47.80056392998617,1.1994360700138316,2.199999999999997,True,False,True,True,0.5460899637547567,0.6094530740530189,MIDDLE_0.5-2R,True,False,False,True,2021-05-09 12:15:00,8,True,False,True,15.888598868886811,0.0516082663837291,0.1509433962264151,0.0943396226415094,0.1226415094339622,LOW,LOW,LOW,False,False,22,0.217391304347826,0.1739130434782608,0.1956521739130434,False,True,False,False,1.6802523736753348,1.9240769630785248,2.7684563758389347,0.9825952513187816,1.0152313733103018,4.2139446801857785,MIDDLE_0.5-2R
2021,2021-05-09 14:00:00,100.0,83.33333333333334,BULL,48.783,47.88054584737584,0.9024541526241592,2.2,False,False,False,False,4.672813558160038,0.9263628490921948,RUNNER_>=2R,True,True,True,True,2021-05-10 19:45:00,118,True,False,False,14.531906343813567,0.1536559017356387,0.1320754716981132,0.1132075471698113,0.1226415094339622,LOW,LOW,LOW,False,False,23,0.2083333333333333,0.2083333333333333,0.2083333333333333,False,True,False,False,1.144514230032386,0.9039010466222797,2.552082238432596,0.5168845959317765,0.6480588596267579,3.6232396102066775,RUNNER_>=2R
2021,2021-05-12 09:00:00,95.0,66.66666666666666,STRONG_BULL,48.541,47.66470927246696,0.8762907275330392,2.200000000000004,False,False,False,False,0.1882936733388922,0.2624699688966241,FALSE_<0.5R,False,False,False,True,2021-05-12 10:15:00,4,True,True,False,18.40910678834061,0.6633317200856581,0.2830188679245283,0.2264150943396226,0.2547169811320754,LOW,LOW,LOW,False,True,24,0.48,0.36,0.42,False,True,True,False,0.7174790283760436,6.223603299997804,0.5197763512114317,0.2980278776126411,0.3858563226984294,1.7695988722282099,FALSE_<0.5R
2021,2021-06-03 17:00:00,100.0,83.33333333333334,BULL,32.272,31.196544051361684,1.0754559486383144,2.200000000000003,False,False,False,False,0.2110732664479835,0.9261188254721928,FALSE_<0.5R,False,False,False,True,2021-06-04 01:15:00,32,True,True,False,20.140031090486573,1.9167193514092016,0.3962264150943396,0.6981132075471698,0.5471698113207547,MID,HIGH,MID,False,True,25,0.5,0.6538461538461539,0.5769230769230769,False,True,True,False,0.9042512917258384,2.9377053363529138,4.656894538850698,0.9688979726550498,1.8794660057980126,3.7857821531197304,FALSE_<0.5R
2021,2021-06-03 21:00:00,95.0,83.33333333333334,BULL,32.115,31.356039430400568,0.7589605695994344,2.200000000000003,False,False,False,False,0.3755135792501242,0.5744698966773945,FALSE_<0.5R,False,False,False,True,2021-06-04 00:45:00,14,True,False,False,19.683210773385245,1.7437546947465243,0.3584905660377358,0.6415094339622641,0.5,MID,MID,MID,False,False,26,0.4814814814814814,0.6296296296296297,0.5555555555555556,False,True,False,False,0.5215456197258126,4.168018164125864,6.415056827595356,0.58955818377696,1.5442448426069766,3.7066572881633966,FALSE_<0.5R
2021,2021-07-23 23:00:00,100.0,66.66666666666666,BULL,16.143,15.599671306519014,0.5433286934809871,2.199999999999997,True,False,True,True,1.8202609430834509,0.1435595081501597,MIDDLE_0.5-2R,True,True,False,False,,144,True,True,True,22.10629215753973,0.2904939412581075,0.5094339622641509,0.1509433962264151,0.330188679245283,MID,LOW,LOW,True,False,27,0.5714285714285714,0.25,0.4107142857142857,False,True,True,False,1.7361507711933788,1.919313087947483,17.806319783988922,1.4512764855838356,2.067595657620348,2.196670354779504,MIDDLE_0.5-2R
2021,2021-08-09 22:00:00,100.0,83.33333333333334,STRONG_BULL,23.906,23.50849373274676,0.3975062672532381,2.2,False,False,False,False,5.748337040795138,0.4276662131007277,RUNNER_>=2R,True,True,True,False,,144,True,True,False,23.95016655625312,1.0748206731046483,0.5660377358490566,0.3773584905660377,0.4716981132075472,MID,MID,MID,False,True,28,0.6206896551724138,0.4827586206896552,0.5517241379310345,False,True,True,False,1.6793223152075665,2.8170831362091864,1.2537060567556102,0.09084765250494299,0.2888345252926522,1.6322575365009275,RUNNER_>=2R
2021,2021-08-10 02:00:00,100.0,83.33333333333334,STRONG_BULL,24.173,23.71948885113786,0.4535111488621375,2.200000000000004,False,False,False,False,5.241326494318632,0.9635926285305962,RUNNER_>=2R,True,True,True,False,,144,True,False,False,18.9764076248271,1.0132651243670576,0.320754716981132,0.320754716981132,0.320754716981132,LOW,LOW,LOW,False,False,29,0.4333333333333333,0.4333333333333333,0.4333333333333333,False,True,False,False,0.8831977532718948,7.809294442957793,0.8468919482686577,0.4531227181011661,0.7276139025340046,2.046675098432394,RUNNER_>=2R
2021,2021-08-14 16:00:00,100.0,66.66666666666666,STRONG_BULL,27.385,26.72787310142009,0.6571268985799108,2.199999999999999,False,False,False,False,0.0623928195430748,0.9419793974918668,FALSE_<0.5R,False,False,False,True,2021-08-14 20:30:00,17,True,True,False,22.00366217666332,1.481610206949746,0.490566037735849,0.5471698113207547,0.5188679245283019,MID,MID,MID,False,True,30,0.5483870967741935,0.6129032258064516,0.5806451612903225,False,True,True,False,0.9235815447601021,4.4790355194384235,5.81939023919007,0.6689507394276438,1.645315058291449,4.678830314078057,FALSE_<0.5R
