window,market_state,signals,false_pct,runner_pct,median_mfe_r
2021,BULL,2,50.0,50.0,1.5898306755764142
2021,STRONG_BULL,11,27.27272727272727,36.36363636363637,0.7174572688785725
2022,BULL,7,42.857142857142854,28.57142857142857,0.8935306270924699
2022,STRONG_BULL,8,12.5,37.5,0.9318432186815422
2023,BULL,3,66.66666666666666,0.0,0.2424493336467123
2023,STRONG_BULL,17,47.05882352941176,17.647058823529413,0.68533046777341
2024,BULL,7,57.14285714285714,0.0,0.3441888990530208
2024,STRONG_BULL,18,55.55555555555556,27.77777777777778,0.3185206150621491
2025h1,BULL,5,60.0,0.0,0.3175737393752945
2025h1,STRONG_BULL,2,0.0,50.0,2.015589642967759
ALL,BULL,24,54.166666666666664,12.5,0.36990629082787696
ALL,STRONG_BULL,56,39.285714285714285,28.57142857142857,0.7149699680295274
