window,market_state,volume_regime,signals,false_pct,runner_pct,median_mfe_r,median_mae_r,reached_1r_pct,stopped_pct
2021,BULL,LOW,0,,,,,,
2021,BULL,MID,0,,,,,,
2021,BULL,HIGH,2,50.0,50.0,1.5898306755764142,0.7630364341194406,50.0,100.0
2021,STRONG_BULL,LOW,4,25.0,25.0,0.9029333972710849,0.7502020641807129,50.0,100.0
2021,STRONG_BULL,MID,2,50.0,50.0,2.02513697263036,0.4599062115975401,50.0,50.0
2021,STRONG_BULL,HIGH,5,20.0,40.0,0.6987427646218362,0.6964832113915969,40.0,80.0
2022,BULL,LOW,5,40.0,20.0,0.8935306270924699,0.8352201450704805,40.0,80.0
2022,BULL,MID,0,,,,,,
2022,BULL,HIGH,2,50.0,50.0,1.3024843524214262,0.8480741391830101,50.0,50.0
2022,STRONG_BULL,LOW,2,50.0,0.0,0.6139953026814886,0.8470173245572319,0.0,100.0
2022,STRONG_BULL,MID,3,0.0,33.33333333333333,1.0755894497535816,0.9021072804384844,66.66666666666666,100.0
2022,STRONG_BULL,HIGH,3,0.0,66.66666666666666,3.249105599804208,0.596218033586638,66.66666666666666,66.66666666666666
2023,BULL,LOW,3,66.66666666666666,0.0,0.2424493336467123,0.9090537923396576,0.0,100.0
2023,BULL,MID,0,,,,,,
2023,BULL,HIGH,0,,,,,,
2023,STRONG_BULL,LOW,11,54.54545454545454,18.181818181818183,0.2812786756757752,0.8072323480041101,36.36363636363637,90.9090909090909
2023,STRONG_BULL,MID,3,0.0,33.33333333333333,1.0359896668325617,0.7809906159478348,66.66666666666666,100.0
2023,STRONG_BULL,HIGH,3,66.66666666666666,0.0,0.3029618649186414,0.7902909898648355,0.0,100.0
2024,BULL,LOW,3,66.66666666666666,0.0,0.3441888990530208,0.8038060727218445,0.0,100.0
2024,BULL,MID,0,,,,,,
2024,BULL,HIGH,4,50.0,0.0,0.4294953172462411,0.7606429453702721,0.0,100.0
2024,STRONG_BULL,LOW,8,75.0,12.5,0.14472810125950603,0.8459744442136359,12.5,100.0
2024,STRONG_BULL,MID,5,40.0,40.0,1.4010306225978948,0.7718805651896757,60.0,60.0
2024,STRONG_BULL,HIGH,5,40.0,40.0,0.8286580849654966,0.7540966114059096,40.0,80.0
2025h1,BULL,LOW,3,33.33333333333333,0.0,0.8802662321830089,0.9431423916246628,33.33333333333333,100.0
2025h1,BULL,MID,1,100.0,0.0,0.3175737393752945,0.8468633050007703,0.0,100.0
2025h1,BULL,HIGH,1,100.0,0.0,0.0270616759916829,0.7847886037588233,0.0,100.0
2025h1,STRONG_BULL,LOW,1,0.0,0.0,0.7724484249578856,0.9655605311973656,0.0,100.0
2025h1,STRONG_BULL,MID,0,,,,,,
2025h1,STRONG_BULL,HIGH,1,0.0,100.0,3.258730860977632,0.1429267921481335,100.0,0.0
ALL,BULL,LOW,14,50.0,7.142857142857142,0.49647373070718775,0.8990173411888333,21.428571428571427,92.85714285714286
ALL,BULL,MID,1,100.0,0.0,0.3175737393752945,0.8468633050007703,0.0,100.0
ALL,BULL,HIGH,9,55.55555555555556,22.22222222222222,0.1625152893858415,0.7728263128108859,22.22222222222222,88.88888888888889
ALL,STRONG_BULL,LOW,26,53.84615384615385,15.384615384615385,0.38409131090095683,0.8229830781101226,26.923076923076923,96.15384615384616
ALL,STRONG_BULL,MID,13,23.076923076923077,38.46153846153847,1.0755894497535816,0.7809906159478348,61.53846153846154,76.92307692307693
ALL,STRONG_BULL,HIGH,17,29.411764705882355,41.17647058823529,0.7375893199010053,0.7117387085425214,41.17647058823529,76.47058823529412
